year,Nubia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,6
1970,5
1971,0
1972,0
1973,11
1974,17
1975,19
1976,27
1977,29
1978,37
1979,29
1980,38
1981,55
1982,51
1983,38
1984,45
1985,36
1986,34
1987,25
1988,41
1989,37
1990,35
1991,54
1992,55
1993,83
1994,58
1995,44
1996,52
1997,47
1998,52
1999,50
2000,66
2001,55
2002,59
2003,59
2004,63
2005,69
2006,52
2007,62
2008,51
2009,53
2010,37
2011,40
2012,35
