year,Neysa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,9
1918,9
1919,0
1920,0
1921,7
1922,12
1923,8
1924,10
1925,12
1926,10
1927,0
1928,8
1929,7
1930,6
1931,8
1932,7
1933,9
1934,0
1935,14
1936,5
1937,8
1938,6
1939,0
1940,0
1941,0
1942,5
1943,5
1944,0
1945,8
1946,27
1947,15
1948,6
1949,10
1950,7
1951,14
1952,16
1953,11
1954,19
1955,24
1956,8
1957,17
1958,12
1959,17
1960,13
1961,13
1962,10
1963,14
1964,25
1965,18
1966,20
1967,13
1968,20
1969,8
1970,19
1971,34
1972,17
1973,21
1974,23
1975,23
1976,26
1977,25
1978,20
1979,23
1980,21
1981,22
1982,16
1983,18
1984,20
1985,16
1986,11
1987,14
1988,10
1989,15
1990,14
1991,19
1992,10
1993,22
1994,12
1995,7
1996,14
1997,9
1998,0
1999,8
2000,13
2001,8
2002,8
2003,13
2004,13
2005,11
2006,11
2007,7
2008,7
2009,9
2010,9
2011,14
2012,11
