year,Nino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,8
1914,10
1915,11
1916,16
1917,8
1918,12
1919,9
1920,9
1921,14
1922,21
1923,9
1924,10
1925,10
1926,25
1927,14
1928,6
1929,12
1930,10
1931,7
1932,13
1933,13
1934,11
1935,9
1936,21
1937,21
1938,15
1939,9
1940,10
1941,11
1942,9
1943,13
1944,7
1945,9
1946,8
1947,12
1948,9
1949,6
1950,7
1951,16
1952,7
1953,23
1954,16
1955,17
1956,19
1957,20
1958,18
1959,24
1960,17
1961,20
1962,15
1963,19
1964,19
1965,21
1966,21
1967,22
1968,32
1969,28
1970,35
1971,35
1972,29
1973,33
1974,26
1975,30
1976,18
1977,25
1978,27
1979,21
1980,22
1981,21
1982,20
1983,27
1984,13
1985,24
1986,16
1987,15
1988,15
1989,25
1990,21
1991,32
1992,51
1993,42
1994,40
1995,40
1996,30
1997,34
1998,54
1999,45
2000,47
2001,40
2002,44
2003,40
2004,37
2005,45
2006,40
2007,41
2008,32
2009,52
2010,38
2011,17
2012,45
