year,Natividad
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,5
1904,5
1905,6
1906,10
1907,0
1908,9
1909,5
1910,11
1911,6
1912,22
1913,24
1914,21
1915,38
1916,35
1917,46
1918,46
1919,51
1920,46
1921,61
1922,47
1923,58
1924,61
1925,76
1926,76
1927,63
1928,84
1929,59
1930,54
1931,53
1932,49
1933,47
1934,44
1935,31
1936,38
1937,32
1938,37
1939,29
1940,45
1941,35
1942,36
1943,27
1944,42
1945,29
1946,54
1947,42
1948,34
1949,46
1950,31
1951,33
1952,39
1953,32
1954,36
1955,33
1956,30
1957,37
1958,29
1959,48
1960,28
1961,24
1962,26
1963,21
1964,33
1965,39
1966,31
1967,27
1968,35
1969,35
1970,34
1971,29
1972,35
1973,25
1974,28
1975,37
1976,29
1977,44
1978,27
1979,24
1980,38
1981,26
1982,30
1983,25
1984,29
1985,35
1986,25
1987,30
1988,28
1989,26
1990,29
1991,40
1992,30
1993,20
1994,32
1995,38
1996,28
1997,29
1998,27
1999,26
2000,20
2001,30
2002,24
2003,18
2004,27
2005,32
2006,22
2007,22
2008,22
2009,9
2010,14
2011,8
2012,11
