year,Nolan (F),Nolan (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000029
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000036
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000030
1893,0.000000,0.000028
1894,0.000000,0.000035
1895,0.000000,0.000023
1896,0.000000,0.000025
1897,0.000000,0.000035
1898,0.000000,0.000013
1899,0.000000,0.000029
1900,0.000000,0.000036
1901,0.000000,0.000032
1902,0.000000,0.000039
1903,0.000000,0.000026
1904,0.000000,0.000045
1905,0.000000,0.000040
1906,0.000000,0.000047
1907,0.000000,0.000049
1908,0.000000,0.000033
1909,0.000000,0.000055
1910,0.000000,0.000052
1911,0.000008,0.000050
1912,0.000000,0.000063
1913,0.000000,0.000078
1914,0.000000,0.000076
1915,0.000000,0.000064
1916,0.000004,0.000078
1917,0.000000,0.000074
1918,0.000000,0.000061
1919,0.000000,0.000071
1920,0.000000,0.000069
1921,0.000000,0.000082
1922,0.000000,0.000080
1923,0.000000,0.000077
1924,0.000000,0.000068
1925,0.000000,0.000069
1926,0.000002,0.000073
1927,0.000000,0.000075
1928,0.000000,0.000069
1929,0.000000,0.000065
1930,0.000000,0.000081
1931,0.000000,0.000074
1932,0.000000,0.000090
1933,0.000000,0.000083
1934,0.000000,0.000091
1935,0.000000,0.000090
1936,0.000000,0.000080
1937,0.000000,0.000086
1938,0.000000,0.000089
1939,0.000000,0.000093
1940,0.000000,0.000096
1941,0.000000,0.000072
1942,0.000000,0.000070
1943,0.000000,0.000073
1944,0.000000,0.000077
1945,0.000002,0.000066
1946,0.000000,0.000060
1947,0.000000,0.000055
1948,0.000000,0.000063
1949,0.000000,0.000063
1950,0.000000,0.000062
1951,0.000000,0.000051
1952,0.000000,0.000056
1953,0.000000,0.000049
1954,0.000000,0.000052
1955,0.000000,0.000049
1956,0.000000,0.000048
1957,0.000000,0.000044
1958,0.000000,0.000044
1959,0.000000,0.000045
1960,0.000000,0.000040
1961,0.000000,0.000040
1962,0.000000,0.000035
1963,0.000000,0.000040
1964,0.000000,0.000042
1965,0.000000,0.000031
1966,0.000000,0.000046
1967,0.000000,0.000038
1968,0.000000,0.000044
1969,0.000000,0.000045
1970,0.000000,0.000050
1971,0.000000,0.000058
1972,0.000000,0.000046
1973,0.000000,0.000058
1974,0.000000,0.000055
1975,0.000000,0.000067
1976,0.000000,0.000067
1977,0.000000,0.000069
1978,0.000000,0.000081
1979,0.000000,0.000079
1980,0.000000,0.000095
1981,0.000000,0.000114
1982,0.000000,0.000120
1983,0.000002,0.000129
1984,0.000000,0.000149
1985,0.000003,0.000134
1986,0.000002,0.000135
1987,0.000000,0.000133
1988,0.000002,0.000138
1989,0.000000,0.000161
1990,0.000002,0.000214
1991,0.000002,0.000271
1992,0.000000,0.000303
1993,0.000000,0.000304
1994,0.000001,0.000299
1995,0.000000,0.000291
1996,0.000002,0.000303
1997,0.000001,0.000362
1998,0.000000,0.000371
1999,0.000000,0.000440
2000,0.000000,0.000537
2001,0.000002,0.000559
2002,0.000002,0.000598
2003,0.000003,0.000583
2004,0.000005,0.000652
2005,0.000002,0.000707
2006,0.000002,0.000718
2007,0.000004,0.000794
2008,0.000003,0.000803
2009,0.000002,0.000901
2010,0.000003,0.001000
2011,0.000004,0.001142
2012,0.000003,0.001215
2013,0.000004,0.001307
