year,Nancye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,5
1914,6
1915,7
1916,0
1917,7
1918,10
1919,9
1920,19
1921,10
1922,14
1923,11
1924,19
1925,16
1926,12
1927,9
1928,16
1929,15
1930,22
1931,21
1932,18
1933,23
1934,27
1935,23
1936,30
1937,28
1938,23
1939,28
1940,34
1941,30
1942,33
1943,22
1944,36
1945,25
1946,28
1947,33
1948,33
1949,14
1950,31
1951,19
1952,25
1953,17
1954,30
1955,18
1956,22
1957,20
1958,21
1959,18
1960,14
1961,10
1962,18
1963,9
1964,6
1965,5
1966,5
1967,0
1968,0
1969,5
1970,5
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
