year,Norita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,6
1924,7
1925,6
1926,7
1927,5
1928,0
1929,7
1930,0
1931,0
1932,0
1933,6
1934,7
1935,89
1936,19
1937,155
1938,47
1939,34
1940,19
1941,24
1942,17
1943,14
1944,11
1945,11
1946,6
1947,11
1948,10
1949,17
1950,9
1951,10
1952,13
1953,12
1954,14
1955,16
1956,17
1957,9
1958,17
1959,13
1960,14
1961,19
1962,14
1963,6
1964,14
1965,7
1966,6
1967,8
1968,9
1969,7
1970,6
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,8
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
