year,Nina (F),Nina (M)
1880,0.000591,0.000000
1881,0.000638,0.000000
1882,0.000772,0.000000
1883,0.000816,0.000000
1884,0.000768,0.000000
1885,0.000801,0.000021
1886,0.000932,0.000000
1887,0.001075,0.000000
1888,0.001015,0.000000
1889,0.001090,0.000000
1890,0.001042,0.000000
1891,0.000952,0.000000
1892,0.001017,0.000000
1893,0.001015,0.000000
1894,0.001025,0.000000
1895,0.000991,0.000014
1896,0.000895,0.000000
1897,0.000968,0.000000
1898,0.001004,0.000000
1899,0.001150,0.000000
1900,0.000835,0.000000
1901,0.000853,0.000000
1902,0.000954,0.000000
1903,0.000905,0.000000
1904,0.000862,0.000000
1905,0.000835,0.000000
1906,0.000794,0.000000
1907,0.000930,0.000000
1908,0.000919,0.000000
1909,0.000849,0.000000
1910,0.000809,0.000000
1911,0.000723,0.000000
1912,0.000589,0.000000
1913,0.000587,0.000000
1914,0.000585,0.000000
1915,0.000592,0.000000
1916,0.000584,0.000003
1917,0.000575,0.000003
1918,0.000537,0.000003
1919,0.000533,0.000000
1920,0.000542,0.000000
1921,0.000519,0.000000
1922,0.000494,0.000000
1923,0.000517,0.000000
1924,0.000508,0.000002
1925,0.000513,0.000002
1926,0.000484,0.000002
1927,0.000457,0.000000
1928,0.000452,0.000003
1929,0.000442,0.000000
1930,0.000448,0.000002
1931,0.000474,0.000002
1932,0.000462,0.000000
1933,0.000488,0.000000
1934,0.000494,0.000002
1935,0.000462,0.000004
1936,0.000451,0.000002
1937,0.000423,0.000002
1938,0.000439,0.000002
1939,0.000416,0.000000
1940,0.000396,0.000000
1941,0.000360,0.000002
1942,0.000335,0.000000
1943,0.000333,0.000000
1944,0.000374,0.000000
1945,0.000333,0.000000
1946,0.000317,0.000000
1947,0.000277,0.000001
1948,0.000297,0.000000
1949,0.000270,0.000000
1950,0.000287,0.000000
1951,0.000281,0.000000
1952,0.000357,0.000000
1953,0.000357,0.000000
1954,0.000374,0.000000
1955,0.000337,0.000000
1956,0.000321,0.000001
1957,0.000314,0.000001
1958,0.000289,0.000000
1959,0.000322,0.000001
1960,0.000297,0.000002
1961,0.000299,0.000002
1962,0.000317,0.000001
1963,0.000322,0.000000
1964,0.000294,0.000000
1965,0.000292,0.000001
1966,0.000306,0.000000
1967,0.000288,0.000000
1968,0.000238,0.000000
1969,0.000233,0.000003
1970,0.000229,0.000000
1971,0.000244,0.000000
1972,0.000254,0.000002
1973,0.000246,0.000002
1974,0.000240,0.000000
1975,0.000240,0.000000
1976,0.000186,0.000000
1977,0.000197,0.000000
1978,0.000177,0.000000
1979,0.000258,0.000000
1980,0.000548,0.000002
1981,0.000491,0.000002
1982,0.000407,0.000002
1983,0.000388,0.000000
1984,0.000384,0.000003
1985,0.000336,0.000002
1986,0.000302,0.000003
1987,0.000350,0.000002
1988,0.000332,0.000002
1989,0.000304,0.000003
1990,0.000279,0.000002
1991,0.000282,0.000000
1992,0.000273,0.000000
1993,0.000270,0.000000
1994,0.000284,0.000001
1995,0.000270,0.000002
1996,0.000317,0.000000
1997,0.000354,0.000000
1998,0.000367,0.000000
1999,0.000389,0.000000
2000,0.000378,0.000000
2001,0.000348,0.000000
2002,0.000353,0.000000
2003,0.000357,0.000000
2004,0.000346,0.000000
2005,0.000335,0.000000
2006,0.000307,0.000000
2007,0.000318,0.000000
2008,0.000313,0.000000
2009,0.000301,0.000000
2010,0.000271,0.000000
2011,0.000286,0.000000
2012,0.000299,0.000000
