year,Nancie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,5
1892,7
1893,8
1894,5
1895,0
1896,0
1897,0
1898,5
1899,0
1900,5
1901,0
1902,8
1903,0
1904,6
1905,0
1906,0
1907,5
1908,6
1909,0
1910,5
1911,0
1912,11
1913,5
1914,9
1915,14
1916,14
1917,10
1918,11
1919,13
1920,15
1921,15
1922,24
1923,19
1924,19
1925,17
1926,23
1927,21
1928,30
1929,23
1930,44
1931,45
1932,48
1933,41
1934,56
1935,43
1936,60
1937,65
1938,58
1939,65
1940,66
1941,53
1942,70
1943,77
1944,74
1945,65
1946,84
1947,89
1948,89
1949,80
1950,101
1951,80
1952,93
1953,128
1954,78
1955,99
1956,92
1957,95
1958,75
1959,61
1960,69
1961,56
1962,43
1963,53
1964,34
1965,33
1966,30
1967,24
1968,24
1969,31
1970,32
1971,30
1972,17
1973,22
1974,17
1975,12
1976,14
1977,13
1978,14
1979,16
1980,6
1981,15
1982,7
1983,8
1984,11
1985,6
1986,8
1987,10
1988,0
1989,9
1990,6
1991,6
1992,5
1993,5
1994,8
1995,7
1996,0
1997,11
1998,5
1999,6
2000,6
2001,5
2002,6
2003,0
2004,5
2005,0
2006,7
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
