year,Nereida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,0
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,11
1948,12
1949,15
1950,20
1951,25
1952,32
1953,30
1954,57
1955,67
1956,68
1957,76
1958,62
1959,71
1960,51
1961,73
1962,67
1963,49
1964,46
1965,53
1966,53
1967,48
1968,42
1969,52
1970,59
1971,41
1972,40
1973,37
1974,57
1975,54
1976,52
1977,48
1978,49
1979,58
1980,53
1981,155
1982,129
1983,81
1984,63
1985,77
1986,61
1987,60
1988,54
1989,71
1990,79
1991,69
1992,64
1993,52
1994,73
1995,60
1996,57
1997,66
1998,75
1999,62
2000,43
2001,50
2002,71
2003,52
2004,48
2005,50
2006,54
2007,35
2008,29
2009,25
2010,32
2011,19
2012,16
