year,Nels
1880,12
1881,18
1882,26
1883,19
1884,32
1885,20
1886,15
1887,19
1888,32
1889,17
1890,15
1891,18
1892,19
1893,31
1894,20
1895,20
1896,21
1897,14
1898,19
1899,14
1900,8
1901,8
1902,14
1903,9
1904,7
1905,14
1906,11
1907,16
1908,13
1909,11
1910,11
1911,18
1912,30
1913,39
1914,45
1915,56
1916,58
1917,46
1918,65
1919,34
1920,44
1921,45
1922,38
1923,38
1924,37
1925,47
1926,40
1927,51
1928,32
1929,26
1930,26
1931,42
1932,24
1933,40
1934,32
1935,26
1936,30
1937,38
1938,28
1939,31
1940,35
1941,23
1942,35
1943,36
1944,35
1945,26
1946,46
1947,36
1948,36
1949,41
1950,45
1951,44
1952,46
1953,47
1954,37
1955,55
1956,51
1957,43
1958,42
1959,43
1960,38
1961,46
1962,31
1963,38
1964,27
1965,32
1966,41
1967,33
1968,24
1969,33
1970,29
1971,28
1972,23
1973,32
1974,29
1975,21
1976,37
1977,27
1978,22
1979,28
1980,43
1981,31
1982,41
1983,20
1984,27
1985,18
1986,22
1987,22
1988,15
1989,25
1990,23
1991,17
1992,17
1993,18
1994,12
1995,11
1996,19
1997,14
1998,13
1999,8
2000,14
2001,14
2002,10
2003,9
2004,12
2005,15
2006,7
2007,12
2008,10
2009,16
2010,17
2011,12
2012,10
