year,Nickolas (F),Nickolas (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000023
1884,0.000000,0.000029
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000018
1895,0.000000,0.000000
1896,0.000000,0.000017
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000016
1901,0.000000,0.000017
1902,0.000000,0.000016
1903,0.000000,0.000000
1904,0.000000,0.000020
1905,0.000000,0.000000
1906,0.000000,0.000019
1907,0.000000,0.000017
1908,0.000000,0.000018
1909,0.000000,0.000027
1910,0.000000,0.000017
1911,0.000000,0.000025
1912,0.000000,0.000046
1913,0.000000,0.000048
1914,0.000000,0.000064
1915,0.000000,0.000050
1916,0.000000,0.000056
1917,0.000000,0.000067
1918,0.000000,0.000064
1919,0.000000,0.000062
1920,0.000000,0.000062
1921,0.000000,0.000054
1922,0.000000,0.000055
1923,0.000000,0.000057
1924,0.000000,0.000065
1925,0.000000,0.000058
1926,0.000000,0.000057
1927,0.000000,0.000061
1928,0.000000,0.000054
1929,0.000000,0.000042
1930,0.000000,0.000051
1931,0.000000,0.000031
1932,0.000000,0.000036
1933,0.000000,0.000036
1934,0.000000,0.000033
1935,0.000000,0.000027
1936,0.000000,0.000032
1937,0.000000,0.000023
1938,0.000000,0.000028
1939,0.000000,0.000025
1940,0.000000,0.000026
1941,0.000000,0.000031
1942,0.000000,0.000032
1943,0.000000,0.000030
1944,0.000000,0.000023
1945,0.000000,0.000025
1946,0.000000,0.000020
1947,0.000000,0.000026
1948,0.000000,0.000023
1949,0.000000,0.000027
1950,0.000000,0.000027
1951,0.000000,0.000032
1952,0.000000,0.000031
1953,0.000000,0.000023
1954,0.000000,0.000027
1955,0.000000,0.000024
1956,0.000000,0.000026
1957,0.000000,0.000024
1958,0.000000,0.000023
1959,0.000000,0.000019
1960,0.000000,0.000022
1961,0.000000,0.000021
1962,0.000000,0.000022
1963,0.000000,0.000020
1964,0.000000,0.000022
1965,0.000000,0.000021
1966,0.000000,0.000024
1967,0.000000,0.000029
1968,0.000000,0.000036
1969,0.000000,0.000029
1970,0.000000,0.000036
1971,0.000000,0.000032
1972,0.000000,0.000038
1973,0.000000,0.000045
1974,0.000000,0.000039
1975,0.000000,0.000046
1976,0.000000,0.000057
1977,0.000000,0.000085
1978,0.000000,0.000181
1979,0.000000,0.000182
1980,0.000002,0.000197
1981,0.000001,0.000179
1982,0.000000,0.000167
1983,0.000002,0.000187
1984,0.000000,0.000178
1985,0.000002,0.000188
1986,0.000000,0.000213
1987,0.000001,0.000219
1988,0.000002,0.000223
1989,0.000002,0.000273
1990,0.000000,0.000253
1991,0.000000,0.000257
1992,0.000000,0.000278
1993,0.000000,0.000288
1994,0.000000,0.000290
1995,0.000000,0.000288
1996,0.000000,0.000292
1997,0.000000,0.000299
1998,0.000000,0.000314
1999,0.000000,0.000308
2000,0.000000,0.000288
2001,0.000000,0.000259
2002,0.000000,0.000238
2003,0.000000,0.000240
2004,0.000001,0.000280
2005,0.000000,0.000244
2006,0.000000,0.000237
2007,0.000000,0.000211
2008,0.000000,0.000188
2009,0.000000,0.000163
2010,0.000000,0.000153
2011,0.000000,0.000126
2012,0.000000,0.000125
2013,0.000000,0.000104
