year,Noella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,7
1909,5
1910,6
1911,10
1912,11
1913,7
1914,23
1915,31
1916,20
1917,28
1918,33
1919,30
1920,20
1921,23
1922,24
1923,27
1924,32
1925,31
1926,23
1927,23
1928,34
1929,20
1930,28
1931,20
1932,28
1933,19
1934,15
1935,22
1936,23
1937,19
1938,15
1939,22
1940,20
1941,18
1942,11
1943,6
1944,16
1945,15
1946,9
1947,10
1948,13
1949,15
1950,21
1951,19
1952,22
1953,30
1954,27
1955,21
1956,26
1957,14
1958,14
1959,12
1960,9
1961,5
1962,13
1963,7
1964,6
1965,8
1966,6
1967,5
1968,10
1969,11
1970,7
1971,10
1972,11
1973,15
1974,9
1975,13
1976,5
1977,10
1978,6
1979,12
1980,10
1981,7
1982,8
1983,7
1984,7
1985,12
1986,5
1987,8
1988,8
1989,7
1990,8
1991,12
1992,7
1993,10
1994,12
1995,10
1996,6
1997,9
1998,7
1999,13
2000,11
2001,19
2002,14
2003,23
2004,26
2005,23
2006,34
2007,40
2008,39
2009,66
2010,58
2011,56
2012,69
