year,Norine
1880,0
1881,0
1882,0
1883,5
1884,6
1885,8
1886,8
1887,6
1888,9
1889,6
1890,7
1891,10
1892,10
1893,13
1894,17
1895,11
1896,12
1897,24
1898,16
1899,22
1900,22
1901,17
1902,16
1903,23
1904,26
1905,32
1906,33
1907,29
1908,20
1909,35
1910,31
1911,21
1912,64
1913,52
1914,58
1915,77
1916,99
1917,97
1918,95
1919,81
1920,122
1921,118
1922,104
1923,91
1924,105
1925,102
1926,104
1927,101
1928,90
1929,108
1930,101
1931,103
1932,84
1933,76
1934,95
1935,85
1936,85
1937,64
1938,64
1939,59
1940,64
1941,56
1942,83
1943,77
1944,41
1945,58
1946,89
1947,68
1948,67
1949,69
1950,88
1951,78
1952,102
1953,86
1954,96
1955,91
1956,92
1957,87
1958,93
1959,79
1960,51
1961,64
1962,54
1963,54
1964,56
1965,51
1966,39
1967,29
1968,33
1969,26
1970,27
1971,20
1972,16
1973,17
1974,15
1975,14
1976,9
1977,14
1978,0
1979,10
1980,8
1981,7
1982,14
1983,7
1984,8
1985,5
1986,0
1987,8
1988,0
1989,5
1990,0
1991,0
1992,0
1993,5
1994,0
1995,7
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
