year,Nevin (F),Nevin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000015
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000015
1905,0.000000,0.000017
1906,0.000000,0.000000
1907,0.000000,0.000015
1908,0.000000,0.000012
1909,0.000000,0.000016
1910,0.000000,0.000010
1911,0.000000,0.000011
1912,0.000000,0.000023
1913,0.000000,0.000015
1914,0.000000,0.000022
1915,0.000000,0.000025
1916,0.000000,0.000019
1917,0.000000,0.000017
1918,0.000000,0.000021
1919,0.000000,0.000021
1920,0.000000,0.000019
1921,0.000000,0.000012
1922,0.000000,0.000020
1923,0.000000,0.000021
1924,0.000000,0.000018
1925,0.000000,0.000016
1926,0.000000,0.000024
1927,0.000000,0.000021
1928,0.000000,0.000014
1929,0.000000,0.000019
1930,0.000000,0.000017
1931,0.000000,0.000021
1932,0.000000,0.000015
1933,0.000000,0.000012
1934,0.000000,0.000011
1935,0.000000,0.000018
1936,0.000000,0.000020
1937,0.000000,0.000014
1938,0.000000,0.000013
1939,0.000000,0.000017
1940,0.000000,0.000016
1941,0.000000,0.000018
1942,0.000000,0.000013
1943,0.000000,0.000012
1944,0.000000,0.000012
1945,0.000000,0.000012
1946,0.000000,0.000008
1947,0.000000,0.000012
1948,0.000000,0.000012
1949,0.000000,0.000010
1950,0.000000,0.000011
1951,0.000000,0.000007
1952,0.000000,0.000010
1953,0.000000,0.000008
1954,0.000000,0.000009
1955,0.000000,0.000009
1956,0.000000,0.000010
1957,0.000000,0.000011
1958,0.000000,0.000008
1959,0.000000,0.000010
1960,0.000000,0.000010
1961,0.000000,0.000008
1962,0.000000,0.000007
1963,0.000000,0.000012
1964,0.000000,0.000007
1965,0.000000,0.000012
1966,0.000000,0.000010
1967,0.000000,0.000008
1968,0.000000,0.000007
1969,0.000000,0.000012
1970,0.000000,0.000011
1971,0.000000,0.000009
1972,0.000000,0.000012
1973,0.000000,0.000013
1974,0.000000,0.000008
1975,0.000000,0.000009
1976,0.000000,0.000010
1977,0.000000,0.000013
1978,0.000002,0.000014
1979,0.000000,0.000014
1980,0.000001,0.000012
1981,0.000000,0.000012
1982,0.000000,0.000015
1983,0.000000,0.000015
1984,0.000000,0.000014
1985,0.000000,0.000011
1986,0.000000,0.000019
1987,0.000000,0.000015
1988,0.000000,0.000019
1989,0.000000,0.000023
1990,0.000001,0.000022
1991,0.000000,0.000026
1992,0.000000,0.000026
1993,0.000001,0.000031
1994,0.000000,0.000032
1995,0.000000,0.000024
1996,0.000000,0.000025
1997,0.000000,0.000026
1998,0.000000,0.000026
1999,0.000002,0.000027
2000,0.000003,0.000028
2001,0.000002,0.000036
2002,0.000001,0.000029
2003,0.000001,0.000026
2004,0.000002,0.000035
2005,0.000002,0.000033
2006,0.000001,0.000033
2007,0.000002,0.000035
2008,0.000001,0.000031
2009,0.000000,0.000032
2010,0.000001,0.000033
2011,0.000000,0.000026
2012,0.000000,0.000029
2013,0.000001,0.000026
