year,Ned (F),Ned (M)
1880,0.000000,0.000164
1881,0.000000,0.000093
1882,0.000000,0.000149
1883,0.000000,0.000138
1884,0.000000,0.000099
1885,0.000000,0.000108
1886,0.000000,0.000137
1887,0.000000,0.000113
1888,0.000000,0.000100
1889,0.000000,0.000097
1890,0.000000,0.000163
1891,0.000000,0.000091
1892,0.000000,0.000075
1893,0.000000,0.000105
1894,0.000000,0.000124
1895,0.000000,0.000108
1896,0.000000,0.000095
1897,0.000000,0.000084
1898,0.000000,0.000092
1899,0.000000,0.000112
1900,0.000000,0.000102
1901,0.000000,0.000064
1902,0.000000,0.000083
1903,0.000000,0.000060
1904,0.000000,0.000109
1905,0.000000,0.000064
1906,0.000000,0.000075
1907,0.000000,0.000116
1908,0.000000,0.000086
1909,0.000000,0.000088
1910,0.000000,0.000076
1911,0.000000,0.000099
1912,0.000000,0.000110
1913,0.000000,0.000130
1914,0.000000,0.000126
1915,0.000000,0.000138
1916,0.000000,0.000117
1917,0.000000,0.000140
1918,0.000000,0.000140
1919,0.000000,0.000128
1920,0.000000,0.000126
1921,0.000000,0.000123
1922,0.000000,0.000128
1923,0.000000,0.000121
1924,0.000000,0.000123
1925,0.000000,0.000120
1926,0.000000,0.000128
1927,0.000000,0.000113
1928,0.000000,0.000132
1929,0.000000,0.000129
1930,0.000000,0.000117
1931,0.000002,0.000121
1932,0.000000,0.000124
1933,0.000000,0.000121
1934,0.000000,0.000128
1935,0.000000,0.000122
1936,0.000000,0.000128
1937,0.000000,0.000136
1938,0.000000,0.000135
1939,0.000000,0.000144
1940,0.000000,0.000122
1941,0.000000,0.000115
1942,0.000000,0.000100
1943,0.000000,0.000100
1944,0.000000,0.000099
1945,0.000000,0.000097
1946,0.000000,0.000088
1947,0.000000,0.000087
1948,0.000000,0.000083
1949,0.000000,0.000078
1950,0.000000,0.000079
1951,0.000000,0.000080
1952,0.000000,0.000071
1953,0.000000,0.000068
1954,0.000000,0.000066
1955,0.000000,0.000066
1956,0.000000,0.000062
1957,0.000000,0.000062
1958,0.000000,0.000055
1959,0.000000,0.000053
1960,0.000000,0.000053
1961,0.000000,0.000048
1962,0.000000,0.000048
1963,0.000000,0.000047
1964,0.000000,0.000038
1965,0.000000,0.000035
1966,0.000000,0.000037
1967,0.000000,0.000029
1968,0.000000,0.000033
1969,0.000000,0.000035
1970,0.000000,0.000027
1971,0.000000,0.000033
1972,0.000000,0.000024
1973,0.000000,0.000021
1974,0.000000,0.000026
1975,0.000000,0.000027
1976,0.000000,0.000025
1977,0.000000,0.000023
1978,0.000000,0.000015
1979,0.000000,0.000022
1980,0.000000,0.000021
1981,0.000000,0.000020
1982,0.000000,0.000017
1983,0.000000,0.000015
1984,0.000000,0.000013
1985,0.000000,0.000014
1986,0.000000,0.000010
1987,0.000000,0.000010
1988,0.000000,0.000011
1989,0.000000,0.000012
1990,0.000000,0.000012
1991,0.000000,0.000009
1992,0.000000,0.000010
1993,0.000000,0.000010
1994,0.000000,0.000006
1995,0.000000,0.000008
1996,0.000000,0.000004
1997,0.000000,0.000006
1998,0.000000,0.000005
1999,0.000000,0.000005
2000,0.000000,0.000004
2001,0.000000,0.000005
2002,0.000000,0.000006
2003,0.000000,0.000005
2004,0.000000,0.000006
2005,0.000000,0.000007
2006,0.000000,0.000004
2007,0.000000,0.000004
2008,0.000000,0.000003
2009,0.000000,0.000003
2010,0.000000,0.000003
2011,0.000000,0.000004
2012,0.000000,0.000003
