year,Nadja
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,0
1917,8
1918,6
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,0
1928,0
1929,0
1930,7
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,6
1940,0
1941,0
1942,0
1943,0
1944,9
1945,5
1946,5
1947,0
1948,6
1949,0
1950,0
1951,0
1952,0
1953,8
1954,6
1955,7
1956,7
1957,6
1958,6
1959,6
1960,9
1961,9
1962,13
1963,17
1964,7
1965,13
1966,13
1967,13
1968,12
1969,20
1970,17
1971,7
1972,19
1973,18
1974,13
1975,14
1976,18
1977,12
1978,16
1979,13
1980,15
1981,14
1982,14
1983,11
1984,18
1985,17
1986,15
1987,25
1988,27
1989,20
1990,16
1991,17
1992,8
1993,21
1994,23
1995,35
1996,52
1997,30
1998,24
1999,40
2000,38
2001,19
2002,26
2003,24
2004,17
2005,15
2006,14
2007,20
2008,17
2009,12
2010,19
2011,9
2012,11
