year,Norene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,0
1894,8
1895,7
1896,6
1897,6
1898,5
1899,11
1900,10
1901,12
1902,13
1903,16
1904,14
1905,16
1906,16
1907,14
1908,17
1909,20
1910,34
1911,28
1912,33
1913,40
1914,50
1915,80
1916,89
1917,78
1918,112
1919,85
1920,77
1921,82
1922,76
1923,101
1924,74
1925,84
1926,83
1927,104
1928,98
1929,90
1930,95
1931,121
1932,103
1933,103
1934,92
1935,102
1936,77
1937,96
1938,91
1939,68
1940,87
1941,76
1942,96
1943,109
1944,105
1945,97
1946,101
1947,111
1948,88
1949,111
1950,92
1951,81
1952,84
1953,73
1954,55
1955,74
1956,63
1957,57
1958,56
1959,40
1960,52
1961,53
1962,38
1963,38
1964,33
1965,27
1966,25
1967,21
1968,24
1969,18
1970,12
1971,12
1972,9
1973,13
1974,5
1975,0
1976,6
1977,11
1978,6
1979,10
1980,7
1981,5
1982,10
1983,0
1984,0
1985,0
1986,7
1987,0
1988,0
1989,0
1990,0
1991,0
1992,6
1993,5
1994,6
1995,0
1996,0
1997,5
1998,7
1999,0
2000,0
2001,8
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
