year,Noel (F),Noel (M)
1880,0.000000,0.000050
1881,0.000000,0.000067
1882,0.000000,0.000045
1883,0.000000,0.000023
1884,0.000000,0.000049
1885,0.000000,0.000033
1886,0.000000,0.000024
1887,0.000000,0.000020
1888,0.000000,0.000043
1889,0.000000,0.000045
1890,0.000000,0.000033
1891,0.000000,0.000031
1892,0.000000,0.000048
1893,0.000000,0.000034
1894,0.000000,0.000068
1895,0.000000,0.000048
1896,0.000000,0.000034
1897,0.000000,0.000037
1898,0.000000,0.000060
1899,0.000000,0.000062
1900,0.000000,0.000040
1901,0.000000,0.000046
1902,0.000000,0.000057
1903,0.000000,0.000073
1904,0.000000,0.000055
1905,0.000000,0.000092
1906,0.000000,0.000077
1907,0.000000,0.000069
1908,0.000000,0.000096
1909,0.000010,0.000088
1910,0.000000,0.000074
1911,0.000009,0.000067
1912,0.000006,0.000081
1913,0.000004,0.000113
1914,0.000008,0.000096
1915,0.000005,0.000122
1916,0.000008,0.000094
1917,0.000007,0.000096
1918,0.000008,0.000086
1919,0.000009,0.000078
1920,0.000008,0.000091
1921,0.000005,0.000078
1922,0.000005,0.000090
1923,0.000003,0.000081
1924,0.000007,0.000082
1925,0.000009,0.000085
1926,0.000008,0.000089
1927,0.000008,0.000099
1928,0.000013,0.000117
1929,0.000015,0.000110
1930,0.000016,0.000096
1931,0.000017,0.000132
1932,0.000024,0.000142
1933,0.000016,0.000159
1934,0.000019,0.000158
1935,0.000020,0.000162
1936,0.000022,0.000156
1937,0.000030,0.000176
1938,0.000028,0.000192
1939,0.000026,0.000179
1940,0.000032,0.000162
1941,0.000035,0.000138
1942,0.000034,0.000135
1943,0.000025,0.000141
1944,0.000026,0.000134
1945,0.000037,0.000119
1946,0.000033,0.000105
1947,0.000034,0.000106
1948,0.000032,0.000096
1949,0.000024,0.000098
1950,0.000024,0.000087
1951,0.000024,0.000086
1952,0.000020,0.000089
1953,0.000025,0.000087
1954,0.000024,0.000088
1955,0.000033,0.000084
1956,0.000024,0.000095
1957,0.000019,0.000090
1958,0.000020,0.000108
1959,0.000017,0.000108
1960,0.000019,0.000094
1961,0.000014,0.000104
1962,0.000015,0.000104
1963,0.000022,0.000097
1964,0.000028,0.000096
1965,0.000030,0.000106
1966,0.000043,0.000135
1967,0.000072,0.000168
1968,0.000061,0.000189
1969,0.000053,0.000173
1970,0.000055,0.000187
1971,0.000059,0.000187
1972,0.000058,0.000171
1973,0.000058,0.000160
1974,0.000055,0.000166
1975,0.000057,0.000166
1976,0.000052,0.000145
1977,0.000057,0.000140
1978,0.000058,0.000130
1979,0.000056,0.000148
1980,0.000055,0.000133
1981,0.000054,0.000137
1982,0.000051,0.000134
1983,0.000064,0.000133
1984,0.000069,0.000137
1985,0.000085,0.000125
1986,0.000071,0.000133
1987,0.000093,0.000128
1988,0.000085,0.000132
1989,0.000071,0.000146
1990,0.000065,0.000149
1991,0.000069,0.000138
1992,0.000064,0.000133
1993,0.000059,0.000131
1994,0.000060,0.000135
1995,0.000062,0.000142
1996,0.000066,0.000142
1997,0.000073,0.000150
1998,0.000066,0.000135
1999,0.000054,0.000152
2000,0.000054,0.000163
2001,0.000056,0.000156
2002,0.000051,0.000147
2003,0.000049,0.000135
2004,0.000044,0.000150
2005,0.000047,0.000154
2006,0.000046,0.000153
2007,0.000048,0.000159
2008,0.000045,0.000151
2009,0.000047,0.000145
2010,0.000043,0.000148
2011,0.000045,0.000161
2012,0.000040,0.000186
2013,0.000050,0.000213
2014,0.000055,0.000243
2015,0.000057,0.000233
2016,0.000055,0.000231
2017,0.000056,0.000233
2018,0.000054,0.000224
2019,0.000057,0.000229
2020,0.000042,0.000215
