year,Norbert (F),Norbert (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000027
1887,0.000000,0.000020
1888,0.000000,0.000030
1889,0.000000,0.000028
1890,0.000000,0.000030
1891,0.000000,0.000038
1892,0.000000,0.000033
1893,0.000000,0.000034
1894,0.000000,0.000030
1895,0.000000,0.000051
1896,0.000000,0.000034
1897,0.000000,0.000046
1898,0.000000,0.000058
1899,0.000000,0.000038
1900,0.000000,0.000047
1901,0.000000,0.000043
1902,0.000000,0.000057
1903,0.000000,0.000034
1904,0.000000,0.000035
1905,0.000000,0.000068
1906,0.000000,0.000058
1907,0.000000,0.000060
1908,0.000000,0.000063
1909,0.000000,0.000070
1910,0.000000,0.000066
1911,0.000000,0.000085
1912,0.000000,0.000128
1913,0.000000,0.000179
1914,0.000000,0.000203
1915,0.000000,0.000181
1916,0.000000,0.000225
1917,0.000000,0.000232
1918,0.000000,0.000223
1919,0.000000,0.000213
1920,0.000000,0.000228
1921,0.000000,0.000247
1922,0.000000,0.000274
1923,0.000000,0.000261
1924,0.000000,0.000267
1925,0.000000,0.000261
1926,0.000000,0.000253
1927,0.000000,0.000260
1928,0.000000,0.000265
1929,0.000003,0.000265
1930,0.000000,0.000252
1931,0.000000,0.000238
1932,0.000000,0.000222
1933,0.000000,0.000213
1934,0.000000,0.000203
1935,0.000000,0.000191
1936,0.000000,0.000177
1937,0.000000,0.000156
1938,0.000000,0.000151
1939,0.000000,0.000150
1940,0.000000,0.000125
1941,0.000000,0.000109
1942,0.000000,0.000113
1943,0.000000,0.000096
1944,0.000000,0.000090
1945,0.000000,0.000074
1946,0.000000,0.000074
1947,0.000000,0.000071
1948,0.000000,0.000061
1949,0.000000,0.000065
1950,0.000000,0.000061
1951,0.000000,0.000058
1952,0.000000,0.000053
1953,0.000000,0.000056
1954,0.000000,0.000051
1955,0.000000,0.000048
1956,0.000000,0.000041
1957,0.000000,0.000041
1958,0.000000,0.000041
1959,0.000000,0.000041
1960,0.000000,0.000043
1961,0.000000,0.000036
1962,0.000000,0.000033
1963,0.000000,0.000037
1964,0.000000,0.000032
1965,0.000000,0.000031
1966,0.000000,0.000030
1967,0.000000,0.000029
1968,0.000000,0.000019
1969,0.000000,0.000025
1970,0.000000,0.000023
1971,0.000000,0.000022
1972,0.000000,0.000015
1973,0.000000,0.000018
1974,0.000000,0.000017
1975,0.000000,0.000017
1976,0.000000,0.000011
1977,0.000000,0.000013
1978,0.000000,0.000015
1979,0.000000,0.000011
1980,0.000000,0.000014
1981,0.000000,0.000011
1982,0.000000,0.000011
1983,0.000000,0.000007
1984,0.000000,0.000011
1985,0.000000,0.000008
1986,0.000000,0.000010
1987,0.000000,0.000010
1988,0.000000,0.000008
1989,0.000000,0.000008
1990,0.000000,0.000008
1991,0.000000,0.000006
1992,0.000000,0.000007
1993,0.000000,0.000007
1994,0.000000,0.000006
1995,0.000000,0.000007
1996,0.000000,0.000006
1997,0.000000,0.000005
1998,0.000000,0.000005
1999,0.000000,0.000004
2000,0.000000,0.000004
2001,0.000000,0.000005
2002,0.000000,0.000004
2003,0.000000,0.000004
2004,0.000000,0.000005
2005,0.000000,0.000005
2006,0.000000,0.000005
2007,0.000000,0.000003
2008,0.000000,0.000003
2009,0.000000,0.000003
2010,0.000000,0.000003
2011,0.000000,0.000002
2012,0.000000,0.000002
2013,0.000000,0.000002
