year,Nohemi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,7
1950,8
1951,0
1952,10
1953,0
1954,0
1955,5
1956,7
1957,0
1958,0
1959,8
1960,7
1961,6
1962,6
1963,5
1964,10
1965,0
1966,12
1967,7
1968,8
1969,11
1970,8
1971,13
1972,16
1973,14
1974,12
1975,14
1976,32
1977,17
1978,19
1979,34
1980,23
1981,19
1982,20
1983,18
1984,33
1985,20
1986,27
1987,23
1988,40
1989,29
1990,36
1991,39
1992,57
1993,50
1994,66
1995,54
1996,54
1997,45
1998,43
1999,36
2000,66
2001,51
2002,46
2003,51
2004,51
2005,50
2006,64
2007,62
2008,50
2009,43
2010,39
2011,46
2012,39
