year,Naoma
1880,0
1881,0
1882,0
1883,0
1884,7
1885,6
1886,6
1887,6
1888,5
1889,0
1890,0
1891,12
1892,8
1893,8
1894,12
1895,9
1896,13
1897,9
1898,16
1899,10
1900,9
1901,12
1902,9
1903,13
1904,19
1905,19
1906,20
1907,14
1908,20
1909,20
1910,28
1911,25
1912,29
1913,40
1914,49
1915,62
1916,63
1917,61
1918,68
1919,68
1920,80
1921,72
1922,80
1923,75
1924,98
1925,72
1926,55
1927,72
1928,69
1929,67
1930,69
1931,50
1932,46
1933,43
1934,48
1935,43
1936,47
1937,40
1938,51
1939,30
1940,38
1941,32
1942,33
1943,29
1944,32
1945,30
1946,26
1947,22
1948,21
1949,20
1950,22
1951,22
1952,9
1953,13
1954,14
1955,8
1956,12
1957,10
1958,10
1959,19
1960,11
1961,12
1962,8
1963,8
1964,13
1965,7
1966,7
1967,10
1968,8
1969,5
1970,6
1971,8
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,8
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,5
2010,0
2011,0
2012,0
