year,Nelva
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,7
1907,0
1908,0
1909,9
1910,0
1911,7
1912,6
1913,8
1914,21
1915,18
1916,18
1917,23
1918,16
1919,16
1920,14
1921,25
1922,17
1923,35
1924,26
1925,29
1926,24
1927,14
1928,24
1929,26
1930,34
1931,39
1932,39
1933,28
1934,33
1935,44
1936,29
1937,24
1938,31
1939,27
1940,37
1941,24
1942,21
1943,27
1944,22
1945,14
1946,13
1947,17
1948,19
1949,23
1950,12
1951,18
1952,17
1953,13
1954,9
1955,10
1956,14
1957,15
1958,17
1959,7
1960,7
1961,0
1962,10
1963,8
1964,9
1965,5
1966,8
1967,7
1968,0
1969,7
1970,0
1971,0
1972,0
1973,0
1974,5
1975,0
1976,8
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
