year,Nyle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,5
1916,10
1917,10
1918,10
1919,7
1920,14
1921,13
1922,7
1923,15
1924,17
1925,10
1926,12
1927,10
1928,29
1929,13
1930,16
1931,12
1932,12
1933,14
1934,10
1935,24
1936,18
1937,14
1938,17
1939,13
1940,12
1941,12
1942,5
1943,15
1944,10
1945,14
1946,12
1947,10
1948,11
1949,8
1950,11
1951,12
1952,12
1953,12
1954,14
1955,14
1956,10
1957,12
1958,14
1959,17
1960,7
1961,12
1962,11
1963,7
1964,7
1965,5
1966,0
1967,7
1968,9
1969,0
1970,6
1971,6
1972,9
1973,8
1974,7
1975,0
1976,7
1977,5
1978,9
1979,5
1980,8
1981,7
1982,7
1983,8
1984,8
1985,10
1986,10
1987,9
1988,16
1989,21
1990,18
1991,20
1992,18
1993,16
1994,19
1995,24
1996,23
1997,24
1998,17
1999,28
2000,20
2001,21
2002,32
2003,18
2004,28
2005,26
2006,39
2007,36
2008,27
2009,32
2010,32
2011,32
2012,54
