year,Nance
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,5
1915,0
1916,0
1917,0
1918,9
1919,9
1920,5
1921,5
1922,5
1923,9
1924,0
1925,0
1926,7
1927,7
1928,13
1929,8
1930,16
1931,11
1932,28
1933,15
1934,17
1935,13
1936,23
1937,19
1938,14
1939,16
1940,14
1941,17
1942,18
1943,17
1944,6
1945,10
1946,29
1947,32
1948,20
1949,24
1950,29
1951,23
1952,23
1953,23
1954,31
1955,23
1956,23
1957,22
1958,12
1959,15
1960,19
1961,9
1962,15
1963,12
1964,6
1965,7
1966,6
1967,7
1968,6
1969,0
1970,7
1971,0
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
