year,Norris (F),Norris (M)
1880,0.000000,0.000060
1881,0.000000,0.000073
1882,0.000000,0.000045
1883,0.000000,0.000051
1884,0.000000,0.000074
1885,0.000000,0.000050
1886,0.000000,0.000035
1887,0.000000,0.000032
1888,0.000000,0.000047
1889,0.000000,0.000042
1890,0.000000,0.000053
1891,0.000000,0.000045
1892,0.000000,0.000042
1893,0.000000,0.000046
1894,0.000000,0.000038
1895,0.000000,0.000040
1896,0.000000,0.000036
1897,0.000000,0.000055
1898,0.000000,0.000037
1899,0.000000,0.000044
1900,0.000000,0.000040
1901,0.000000,0.000049
1902,0.000013,0.000036
1903,0.000000,0.000037
1904,0.000000,0.000062
1905,0.000000,0.000028
1906,0.000000,0.000061
1907,0.000000,0.000060
1908,0.000000,0.000080
1909,0.000000,0.000078
1910,0.000012,0.000081
1911,0.000000,0.000073
1912,0.000008,0.000105
1913,0.000005,0.000105
1914,0.000000,0.000106
1915,0.000005,0.000100
1916,0.000004,0.000105
1917,0.000004,0.000091
1918,0.000002,0.000104
1919,0.000005,0.000095
1920,0.000003,0.000101
1921,0.000006,0.000124
1922,0.000006,0.000114
1923,0.000007,0.000116
1924,0.000006,0.000129
1925,0.000004,0.000120
1926,0.000006,0.000100
1927,0.000004,0.000113
1928,0.000004,0.000103
1929,0.000007,0.000105
1930,0.000006,0.000103
1931,0.000006,0.000126
1932,0.000005,0.000121
1933,0.000011,0.000126
1934,0.000006,0.000116
1935,0.000005,0.000127
1936,0.000007,0.000119
1937,0.000005,0.000109
1938,0.000003,0.000114
1939,0.000004,0.000092
1940,0.000005,0.000089
1941,0.000005,0.000090
1942,0.000003,0.000083
1943,0.000005,0.000085
1944,0.000004,0.000077
1945,0.000005,0.000081
1946,0.000002,0.000075
1947,0.000002,0.000070
1948,0.000003,0.000067
1949,0.000003,0.000068
1950,0.000002,0.000070
1951,0.000002,0.000069
1952,0.000002,0.000075
1953,0.000002,0.000076
1954,0.000002,0.000062
1955,0.000002,0.000072
1956,0.000002,0.000069
1957,0.000003,0.000064
1958,0.000000,0.000054
1959,0.000003,0.000057
1960,0.000002,0.000059
1961,0.000002,0.000060
1962,0.000000,0.000055
1963,0.000000,0.000047
1964,0.000000,0.000041
1965,0.000002,0.000042
1966,0.000000,0.000033
1967,0.000000,0.000038
1968,0.000000,0.000036
1969,0.000000,0.000036
1970,0.000001,0.000031
1971,0.000000,0.000040
1972,0.000000,0.000030
1973,0.000000,0.000032
1974,0.000000,0.000031
1975,0.000000,0.000030
1976,0.000000,0.000025
1977,0.000000,0.000027
1978,0.000000,0.000029
1979,0.000000,0.000026
1980,0.000000,0.000024
1981,0.000000,0.000023
1982,0.000000,0.000020
1983,0.000000,0.000025
1984,0.000000,0.000022
1985,0.000001,0.000020
1986,0.000000,0.000020
1987,0.000000,0.000020
1988,0.000000,0.000022
1989,0.000000,0.000018
1990,0.000000,0.000017
1991,0.000000,0.000015
1992,0.000000,0.000014
1993,0.000000,0.000016
1994,0.000000,0.000014
1995,0.000000,0.000011
1996,0.000000,0.000012
1997,0.000000,0.000012
1998,0.000000,0.000012
1999,0.000000,0.000009
2000,0.000000,0.000008
2001,0.000000,0.000011
2002,0.000000,0.000007
2003,0.000000,0.000008
2004,0.000000,0.000009
2005,0.000000,0.000006
2006,0.000000,0.000005
2007,0.000000,0.000008
2008,0.000000,0.000006
2009,0.000000,0.000004
2010,0.000000,0.000007
2011,0.000000,0.000006
2012,0.000000,0.000007
2013,0.000000,0.000004
