year,Napoleon (F),Napoleon (M)
1880,0.000000,0.000154
1881,0.000000,0.000130
1882,0.000000,0.000131
1883,0.000000,0.000101
1884,0.000000,0.000115
1885,0.000000,0.000108
1886,0.000000,0.000125
1887,0.000000,0.000129
1888,0.000000,0.000073
1889,0.000000,0.000069
1890,0.000000,0.000083
1891,0.000000,0.000084
1892,0.000000,0.000066
1893,0.000000,0.000071
1894,0.000000,0.000065
1895,0.000000,0.000077
1896,0.000000,0.000062
1897,0.000000,0.000066
1898,0.000000,0.000050
1899,0.000000,0.000059
1900,0.000000,0.000071
1901,0.000000,0.000069
1902,0.000000,0.000059
1903,0.000000,0.000042
1904,0.000000,0.000027
1905,0.000000,0.000059
1906,0.000000,0.000033
1907,0.000000,0.000052
1908,0.000000,0.000072
1909,0.000000,0.000068
1910,0.000000,0.000074
1911,0.000000,0.000075
1912,0.000000,0.000057
1913,0.000000,0.000065
1914,0.000000,0.000055
1915,0.000000,0.000056
1916,0.000000,0.000051
1917,0.000000,0.000039
1918,0.000000,0.000050
1919,0.000000,0.000052
1920,0.000000,0.000042
1921,0.000000,0.000050
1922,0.000000,0.000042
1923,0.000000,0.000049
1924,0.000000,0.000049
1925,0.000000,0.000048
1926,0.000000,0.000053
1927,0.000002,0.000041
1928,0.000000,0.000034
1929,0.000000,0.000044
1930,0.000000,0.000036
1931,0.000000,0.000035
1932,0.000000,0.000047
1933,0.000000,0.000043
1934,0.000000,0.000038
1935,0.000000,0.000045
1936,0.000000,0.000035
1937,0.000000,0.000031
1938,0.000000,0.000033
1939,0.000000,0.000034
1940,0.000000,0.000025
1941,0.000000,0.000025
1942,0.000000,0.000030
1943,0.000000,0.000025
1944,0.000000,0.000024
1945,0.000000,0.000023
1946,0.000000,0.000019
1947,0.000000,0.000023
1948,0.000000,0.000023
1949,0.000000,0.000024
1950,0.000000,0.000022
1951,0.000000,0.000024
1952,0.000000,0.000026
1953,0.000000,0.000022
1954,0.000000,0.000025
1955,0.000000,0.000030
1956,0.000000,0.000019
1957,0.000000,0.000017
1958,0.000000,0.000021
1959,0.000000,0.000021
1960,0.000000,0.000018
1961,0.000000,0.000018
1962,0.000000,0.000018
1963,0.000000,0.000017
1964,0.000000,0.000018
1965,0.000000,0.000023
1966,0.000000,0.000028
1967,0.000000,0.000026
1968,0.000000,0.000022
1969,0.000000,0.000026
1970,0.000000,0.000017
1971,0.000000,0.000016
1972,0.000000,0.000022
1973,0.000000,0.000018
1974,0.000000,0.000016
1975,0.000000,0.000019
1976,0.000000,0.000013
1977,0.000000,0.000016
1978,0.000000,0.000013
1979,0.000000,0.000014
1980,0.000000,0.000015
1981,0.000000,0.000016
1982,0.000000,0.000013
1983,0.000000,0.000013
1984,0.000000,0.000013
1985,0.000000,0.000015
1986,0.000000,0.000014
1987,0.000000,0.000019
1988,0.000000,0.000013
1989,0.000000,0.000017
1990,0.000000,0.000014
1991,0.000000,0.000011
1992,0.000000,0.000012
1993,0.000000,0.000010
1994,0.000000,0.000010
1995,0.000000,0.000010
1996,0.000000,0.000009
1997,0.000000,0.000010
1998,0.000000,0.000011
1999,0.000000,0.000008
2000,0.000000,0.000012
2001,0.000000,0.000011
2002,0.000000,0.000008
2003,0.000000,0.000009
2004,0.000000,0.000008
2005,0.000000,0.000008
2006,0.000000,0.000007
2007,0.000000,0.000008
2008,0.000000,0.000006
2009,0.000000,0.000005
2010,0.000000,0.000006
2011,0.000000,0.000005
2012,0.000000,0.000005
2013,0.000000,0.000010
2014,0.000000,0.000005
2015,0.000000,0.000005
2016,0.000000,0.000004
2017,0.000000,0.000004
2018,0.000000,0.000007
2019,0.000000,0.000004
2020,0.000000,0.000004
