year,Nelida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,6
1946,6
1947,5
1948,9
1949,9
1950,9
1951,11
1952,15
1953,14
1954,23
1955,21
1956,31
1957,29
1958,19
1959,37
1960,34
1961,29
1962,33
1963,34
1964,42
1965,35
1966,27
1967,31
1968,32
1969,40
1970,33
1971,32
1972,28
1973,24
1974,21
1975,23
1976,22
1977,25
1978,25
1979,19
1980,29
1981,28
1982,19
1983,22
1984,30
1985,18
1986,26
1987,21
1988,22
1989,20
1990,33
1991,24
1992,26
1993,22
1994,16
1995,21
1996,18
1997,18
1998,16
1999,19
2000,25
2001,15
2002,14
2003,18
2004,12
2005,16
2006,17
2007,8
2008,9
2009,7
2010,8
2011,10
2012,8
