year,Nita
1880,0
1881,7
1882,8
1883,9
1884,15
1885,6
1886,7
1887,13
1888,18
1889,12
1890,20
1891,27
1892,28
1893,28
1894,35
1895,44
1896,31
1897,21
1898,23
1899,22
1900,29
1901,25
1902,30
1903,30
1904,40
1905,40
1906,31
1907,36
1908,40
1909,43
1910,49
1911,42
1912,70
1913,52
1914,69
1915,114
1916,108
1917,91
1918,134
1919,109
1920,122
1921,111
1922,111
1923,152
1924,155
1925,182
1926,165
1927,176
1928,170
1929,139
1930,174
1931,170
1932,190
1933,164
1934,174
1935,166
1936,167
1937,175
1938,174
1939,174
1940,174
1941,220
1942,240
1943,265
1944,211
1945,230
1946,253
1947,263
1948,265
1949,255
1950,246
1951,284
1952,345
1953,339
1954,389
1955,395
1956,404
1957,368
1958,356
1959,327
1960,309
1961,276
1962,270
1963,268
1964,204
1965,159
1966,152
1967,150
1968,120
1969,125
1970,107
1971,86
1972,100
1973,95
1974,62
1975,68
1976,71
1977,55
1978,54
1979,67
1980,50
1981,48
1982,39
1983,37
1984,44
1985,34
1986,30
1987,26
1988,18
1989,22
1990,18
1991,27
1992,26
1993,25
1994,27
1995,25
1996,9
1997,16
1998,15
1999,12
2000,18
2001,19
2002,15
2003,15
2004,12
2005,15
2006,11
2007,21
2008,16
2009,14
2010,7
2011,7
2012,11
