year,Naida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,9
1908,10
1909,10
1910,10
1911,5
1912,16
1913,8
1914,20
1915,19
1916,17
1917,26
1918,22
1919,16
1920,16
1921,19
1922,22
1923,36
1924,40
1925,38
1926,40
1927,40
1928,29
1929,28
1930,44
1931,36
1932,42
1933,36
1934,37
1935,21
1936,27
1937,18
1938,25
1939,16
1940,14
1941,14
1942,17
1943,23
1944,26
1945,11
1946,17
1947,18
1948,13
1949,18
1950,14
1951,17
1952,14
1953,21
1954,16
1955,12
1956,12
1957,23
1958,13
1959,17
1960,19
1961,7
1962,12
1963,10
1964,0
1965,15
1966,10
1967,16
1968,7
1969,10
1970,0
1971,13
1972,9
1973,9
1974,12
1975,7
1976,14
1977,8
1978,13
1979,10
1980,10
1981,10
1982,8
1983,10
1984,13
1985,12
1986,5
1987,7
1988,9
1989,0
1990,9
1991,7
1992,5
1993,0
1994,0
1995,7
1996,7
1997,12
1998,8
1999,10
2000,13
2001,16
2002,11
2003,20
2004,7
2005,14
2006,13
2007,21
2008,6
2009,16
2010,8
2011,14
2012,8
