year,Nataly
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,6
1967,0
1968,0
1969,0
1970,0
1971,7
1972,0
1973,0
1974,5
1975,7
1976,5
1977,8
1978,5
1979,14
1980,12
1981,10
1982,20
1983,26
1984,107
1985,124
1986,96
1987,86
1988,140
1989,146
1990,210
1991,227
1992,210
1993,191
1994,243
1995,254
1996,268
1997,285
1998,291
1999,290
2000,335
2001,430
2002,479
2003,536
2004,644
2005,665
2006,808
2007,789
2008,883
2009,761
2010,697
2011,578
2012,519
