year,Nicoletta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,9
1912,9
1913,8
1914,12
1915,11
1916,14
1917,18
1918,24
1919,26
1920,26
1921,22
1922,23
1923,16
1924,33
1925,25
1926,25
1927,21
1928,19
1929,23
1930,20
1931,19
1932,11
1933,19
1934,12
1935,11
1936,12
1937,13
1938,14
1939,12
1940,17
1941,16
1942,15
1943,13
1944,19
1945,0
1946,11
1947,13
1948,19
1949,11
1950,11
1951,16
1952,13
1953,7
1954,10
1955,7
1956,10
1957,12
1958,7
1959,17
1960,10
1961,12
1962,10
1963,11
1964,9
1965,10
1966,7
1967,9
1968,14
1969,15
1970,12
1971,5
1972,12
1973,13
1974,11
1975,10
1976,10
1977,11
1978,13
1979,11
1980,9
1981,12
1982,24
1983,10
1984,7
1985,14
1986,17
1987,13
1988,16
1989,16
1990,15
1991,23
1992,17
1993,17
1994,27
1995,28
1996,24
1997,35
1998,25
1999,36
2000,46
2001,25
2002,27
2003,32
2004,29
2005,37
2006,23
2007,29
2008,41
2009,29
2010,29
2011,19
2012,22
