year,Nahum
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,7
1919,0
1920,0
1921,0
1922,0
1923,6
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,6
1954,0
1955,0
1956,0
1957,0
1958,0
1959,7
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,7
1972,8
1973,7
1974,10
1975,5
1976,13
1977,13
1978,8
1979,11
1980,8
1981,13
1982,9
1983,14
1984,13
1985,12
1986,13
1987,16
1988,11
1989,21
1990,24
1991,20
1992,18
1993,17
1994,39
1995,31
1996,48
1997,25
1998,38
1999,45
2000,44
2001,38
2002,50
2003,61
2004,59
2005,77
2006,79
2007,85
2008,82
2009,73
2010,59
2011,76
2012,74
