year,Nobie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,10
1891,5
1892,5
1893,5
1894,0
1895,0
1896,8
1897,0
1898,0
1899,7
1900,6
1901,0
1902,7
1903,7
1904,8
1905,5
1906,6
1907,8
1908,17
1909,9
1910,11
1911,16
1912,9
1913,8
1914,12
1915,21
1916,24
1917,22
1918,15
1919,17
1920,17
1921,14
1922,12
1923,11
1924,12
1925,9
1926,8
1927,5
1928,7
1929,11
1930,5
1931,10
1932,5
1933,8
1934,6
1935,5
1936,6
1937,11
1938,0
1939,0
1940,6
1941,0
1942,7
1943,9
1944,8
1945,0
1946,0
1947,0
1948,7
1949,5
1950,8
1951,0
1952,0
1953,8
1954,0
1955,0
1956,7
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
