year,Nan
1880,16
1881,22
1882,24
1883,28
1884,25
1885,31
1886,39
1887,39
1888,46
1889,52
1890,39
1891,24
1892,28
1893,32
1894,52
1895,59
1896,56
1897,33
1898,37
1899,45
1900,53
1901,41
1902,39
1903,45
1904,56
1905,41
1906,44
1907,42
1908,50
1909,46
1910,53
1911,45
1912,59
1913,63
1914,74
1915,93
1916,114
1917,102
1918,108
1919,114
1920,124
1921,109
1922,114
1923,125
1924,118
1925,115
1926,129
1927,110
1928,133
1929,120
1930,130
1931,129
1932,132
1933,138
1934,150
1935,151
1936,145
1937,154
1938,141
1939,197
1940,189
1941,173
1942,217
1943,216
1944,190
1945,175
1946,223
1947,255
1948,225
1949,235
1950,203
1951,233
1952,229
1953,229
1954,215
1955,253
1956,218
1957,210
1958,212
1959,180
1960,165
1961,147
1962,124
1963,113
1964,86
1965,68
1966,49
1967,49
1968,38
1969,37
1970,24
1971,35
1972,22
1973,23
1974,28
1975,14
1976,20
1977,16
1978,19
1979,22
1980,12
1981,13
1982,20
1983,12
1984,9
1985,10
1986,10
1987,14
1988,5
1989,16
1990,11
1991,8
1992,9
1993,10
1994,9
1995,0
1996,7
1997,0
1998,8
1999,0
2000,8
2001,5
2002,6
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
