year,Nathon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,5
1908,0
1909,0
1910,0
1911,6
1912,0
1913,0
1914,0
1915,8
1916,0
1917,5
1918,6
1919,5
1920,0
1921,0
1922,0
1923,5
1924,9
1925,7
1926,0
1927,5
1928,8
1929,0
1930,0
1931,7
1932,0
1933,0
1934,5
1935,5
1936,0
1937,7
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,6
1945,0
1946,0
1947,0
1948,7
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,5
1961,0
1962,6
1963,6
1964,5
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,9
1972,9
1973,9
1974,19
1975,19
1976,21
1977,17
1978,38
1979,30
1980,36
1981,40
1982,33
1983,24
1984,24
1985,43
1986,27
1987,28
1988,30
1989,41
1990,47
1991,38
1992,39
1993,27
1994,30
1995,33
1996,28
1997,37
1998,41
1999,43
2000,37
2001,37
2002,31
2003,31
2004,30
2005,30
2006,38
2007,32
2008,35
2009,19
2010,21
2011,12
2012,12
