year,Nonie
1880,6
1881,8
1882,9
1883,0
1884,5
1885,11
1886,10
1887,8
1888,15
1889,19
1890,12
1891,17
1892,27
1893,18
1894,18
1895,11
1896,11
1897,18
1898,12
1899,11
1900,21
1901,10
1902,16
1903,21
1904,9
1905,9
1906,22
1907,16
1908,15
1909,10
1910,11
1911,9
1912,22
1913,14
1914,23
1915,22
1916,20
1917,29
1918,20
1919,23
1920,20
1921,21
1922,21
1923,25
1924,16
1925,21
1926,8
1927,17
1928,18
1929,17
1930,22
1931,14
1932,19
1933,15
1934,16
1935,6
1936,15
1937,17
1938,15
1939,14
1940,14
1941,20
1942,15
1943,15
1944,11
1945,10
1946,18
1947,14
1948,14
1949,11
1950,9
1951,17
1952,16
1953,13
1954,20
1955,12
1956,23
1957,15
1958,9
1959,14
1960,10
1961,7
1962,7
1963,7
1964,10
1965,12
1966,7
1967,8
1968,7
1969,7
1970,0
1971,0
1972,5
1973,9
1974,6
1975,0
1976,9
1977,5
1978,0
1979,0
1980,0
1981,6
1982,6
1983,0
1984,0
1985,6
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
