year,Nancyann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,12
1933,5
1934,13
1935,10
1936,10
1937,11
1938,13
1939,15
1940,9
1941,15
1942,9
1943,8
1944,20
1945,21
1946,9
1947,13
1948,21
1949,5
1950,9
1951,16
1952,13
1953,12
1954,11
1955,7
1956,7
1957,0
1958,8
1959,0
1960,11
1961,8
1962,9
1963,14
1964,0
1965,7
1966,9
1967,8
1968,6
1969,5
1970,7
1971,0
1972,6
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,7
1983,0
1984,0
1985,6
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
