year,Naomia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,5
1906,0
1907,0
1908,0
1909,5
1910,8
1911,6
1912,13
1913,10
1914,12
1915,15
1916,17
1917,23
1918,26
1919,15
1920,24
1921,19
1922,24
1923,29
1924,32
1925,23
1926,28
1927,36
1928,25
1929,13
1930,34
1931,25
1932,35
1933,23
1934,21
1935,23
1936,21
1937,15
1938,15
1939,12
1940,14
1941,18
1942,14
1943,18
1944,8
1945,11
1946,6
1947,12
1948,12
1949,18
1950,7
1951,16
1952,8
1953,5
1954,11
1955,5
1956,0
1957,5
1958,5
1959,0
1960,11
1961,8
1962,0
1963,5
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,6
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
