year,Nelle
1880,65
1881,72
1882,59
1883,76
1884,92
1885,109
1886,98
1887,100
1888,105
1889,119
1890,143
1891,122
1892,133
1893,120
1894,113
1895,112
1896,89
1897,97
1898,109
1899,87
1900,91
1901,77
1902,82
1903,53
1904,66
1905,85
1906,82
1907,72
1908,52
1909,75
1910,65
1911,78
1912,100
1913,105
1914,127
1915,139
1916,141
1917,169
1918,152
1919,125
1920,128
1921,135
1922,94
1923,106
1924,99
1925,84
1926,68
1927,66
1928,42
1929,46
1930,45
1931,33
1932,35
1933,27
1934,26
1935,22
1936,28
1937,20
1938,20
1939,26
1940,13
1941,11
1942,19
1943,18
1944,14
1945,17
1946,16
1947,11
1948,10
1949,11
1950,8
1951,9
1952,11
1953,13
1954,13
1955,11
1956,5
1957,9
1958,6
1959,6
1960,7
1961,8
1962,7
1963,5
1964,5
1965,5
1966,0
1967,0
1968,10
1969,0
1970,0
1971,0
1972,6
1973,0
1974,0
1975,6
1976,5
1977,0
1978,0
1979,0
1980,5
1981,0
1982,5
1983,0
1984,0
1985,5
1986,7
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,7
2002,0
2003,0
2004,0
2005,6
2006,8
2007,0
2008,7
2009,7
2010,7
2011,5
2012,11
