year,Nadean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,5
1912,6
1913,6
1914,15
1915,13
1916,11
1917,24
1918,19
1919,19
1920,30
1921,29
1922,24
1923,20
1924,27
1925,29
1926,25
1927,25
1928,30
1929,36
1930,38
1931,40
1932,37
1933,20
1934,31
1935,25
1936,26
1937,33
1938,33
1939,23
1940,24
1941,21
1942,21
1943,23
1944,11
1945,20
1946,19
1947,23
1948,25
1949,28
1950,16
1951,15
1952,24
1953,13
1954,21
1955,18
1956,14
1957,7
1958,12
1959,10
1960,10
1961,12
1962,17
1963,10
1964,14
1965,16
1966,17
1967,11
1968,11
1969,11
1970,9
1971,0
1972,7
1973,12
1974,10
1975,8
1976,0
1977,8
1978,5
1979,7
1980,8
1981,5
1982,0
1983,8
1984,0
1985,6
1986,9
1987,7
1988,7
1989,6
1990,0
1991,9
1992,7
1993,0
1994,0
1995,0
1996,9
1997,0
1998,0
1999,0
2000,0
2001,0
2002,7
2003,0
2004,5
2005,0
2006,8
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
