year,Nicholaus
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,9
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,0
1959,0
1960,0
1961,0
1962,6
1963,0
1964,0
1965,0
1966,0
1967,5
1968,6
1969,13
1970,7
1971,20
1972,13
1973,20
1974,18
1975,25
1976,18
1977,44
1978,130
1979,165
1980,154
1981,168
1982,134
1983,107
1984,114
1985,102
1986,119
1987,80
1988,75
1989,104
1990,105
1991,105
1992,116
1993,102
1994,102
1995,104
1996,82
1997,87
1998,78
1999,88
2000,84
2001,62
2002,56
2003,41
2004,38
2005,45
2006,45
2007,38
2008,39
2009,19
2010,16
2011,16
2012,22
