year,Narciso
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,8
1914,6
1915,8
1916,0
1917,10
1918,16
1919,17
1920,19
1921,20
1922,13
1923,24
1924,26
1925,13
1926,18
1927,24
1928,24
1929,27
1930,24
1931,23
1932,28
1933,25
1934,27
1935,19
1936,17
1937,24
1938,22
1939,17
1940,18
1941,14
1942,20
1943,25
1944,17
1945,12
1946,28
1947,16
1948,16
1949,19
1950,28
1951,16
1952,13
1953,19
1954,31
1955,25
1956,29
1957,20
1958,33
1959,26
1960,25
1961,24
1962,24
1963,17
1964,12
1965,17
1966,23
1967,24
1968,17
1969,15
1970,29
1971,22
1972,28
1973,24
1974,24
1975,22
1976,14
1977,18
1978,25
1979,27
1980,32
1981,33
1982,19
1983,21
1984,18
1985,28
1986,23
1987,18
1988,15
1989,16
1990,34
1991,28
1992,25
1993,21
1994,24
1995,17
1996,23
1997,9
1998,23
1999,21
2000,16
2001,13
2002,17
2003,17
2004,20
2005,17
2006,17
2007,11
2008,17
2009,9
2010,11
2011,11
2012,7
