year,Nona
1880,31
1881,38
1882,37
1883,33
1884,28
1885,38
1886,45
1887,36
1888,69
1889,68
1890,72
1891,71
1892,83
1893,68
1894,70
1895,71
1896,74
1897,80
1898,92
1899,104
1900,132
1901,69
1902,88
1903,77
1904,85
1905,105
1906,85
1907,101
1908,90
1909,84
1910,135
1911,96
1912,146
1913,175
1914,188
1915,241
1916,255
1917,266
1918,280
1919,235
1920,251
1921,290
1922,255
1923,275
1924,271
1925,257
1926,294
1927,259
1928,271
1929,248
1930,301
1931,268
1932,262
1933,278
1934,305
1935,250
1936,260
1937,252
1938,269
1939,233
1940,243
1941,216
1942,237
1943,192
1944,186
1945,209
1946,209
1947,223
1948,230
1949,232
1950,359
1951,315
1952,259
1953,267
1954,244
1955,198
1956,214
1957,206
1958,181
1959,190
1960,168
1961,132
1962,133
1963,118
1964,134
1965,85
1966,74
1967,96
1968,75
1969,82
1970,81
1971,73
1972,66
1973,45
1974,62
1975,44
1976,46
1977,48
1978,28
1979,36
1980,41
1981,32
1982,23
1983,36
1984,19
1985,20
1986,21
1987,22
1988,19
1989,16
1990,17
1991,21
1992,22
1993,16
1994,17
1995,17
1996,20
1997,20
1998,21
1999,13
2000,7
2001,19
2002,19
2003,12
2004,24
2005,13
2006,22
2007,22
2008,18
2009,22
2010,20
2011,22
2012,21
