year,Novella
1880,0
1881,0
1882,6
1883,6
1884,0
1885,8
1886,9
1887,8
1888,12
1889,14
1890,7
1891,13
1892,17
1893,12
1894,14
1895,19
1896,21
1897,21
1898,20
1899,19
1900,35
1901,28
1902,20
1903,32
1904,37
1905,47
1906,43
1907,40
1908,42
1909,42
1910,49
1911,63
1912,73
1913,70
1914,88
1915,113
1916,107
1917,123
1918,107
1919,146
1920,118
1921,140
1922,144
1923,186
1924,147
1925,124
1926,118
1927,126
1928,100
1929,111
1930,101
1931,90
1932,108
1933,94
1934,80
1935,68
1936,78
1937,72
1938,78
1939,88
1940,67
1941,74
1942,71
1943,58
1944,53
1945,57
1946,55
1947,52
1948,60
1949,49
1950,41
1951,53
1952,36
1953,40
1954,57
1955,51
1956,38
1957,44
1958,41
1959,43
1960,41
1961,37
1962,35
1963,33
1964,36
1965,28
1966,25
1967,34
1968,30
1969,30
1970,19
1971,32
1972,30
1973,24
1974,14
1975,9
1976,12
1977,12
1978,12
1979,13
1980,14
1981,6
1982,17
1983,11
1984,12
1985,13
1986,7
1987,10
1988,0
1989,9
1990,7
1991,7
1992,13
1993,8
1994,6
1995,0
1996,8
1997,6
1998,9
1999,8
2000,7
2001,7
2002,9
2003,6
2004,7
2005,6
2006,0
2007,19
2008,27
2009,25
2010,27
2011,33
2012,28
