year,Nelma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,5
1910,8
1911,5
1912,10
1913,13
1914,21
1915,17
1916,22
1917,23
1918,29
1919,36
1920,30
1921,34
1922,42
1923,42
1924,42
1925,45
1926,50
1927,45
1928,43
1929,42
1930,37
1931,30
1932,40
1933,35
1934,37
1935,32
1936,35
1937,30
1938,30
1939,30
1940,25
1941,30
1942,27
1943,11
1944,14
1945,19
1946,26
1947,15
1948,10
1949,18
1950,13
1951,14
1952,11
1953,9
1954,11
1955,9
1956,0
1957,7
1958,0
1959,8
1960,7
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
