year,Nanci
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,6
1929,0
1930,8
1931,6
1932,8
1933,16
1934,16
1935,12
1936,20
1937,27
1938,32
1939,60
1940,38
1941,41
1942,63
1943,70
1944,100
1945,102
1946,116
1947,168
1948,158
1949,148
1950,159
1951,203
1952,220
1953,221
1954,201
1955,206
1956,216
1957,177
1958,152
1959,154
1960,153
1961,155
1962,121
1963,119
1964,140
1965,129
1966,144
1967,125
1968,119
1969,97
1970,106
1971,87
1972,80
1973,57
1974,61
1975,50
1976,55
1977,48
1978,43
1979,54
1980,49
1981,50
1982,42
1983,48
1984,50
1985,42
1986,47
1987,46
1988,24
1989,46
1990,56
1991,61
1992,61
1993,52
1994,55
1995,57
1996,48
1997,33
1998,39
1999,40
2000,54
2001,59
2002,49
2003,47
2004,41
2005,40
2006,32
2007,39
2008,21
2009,14
2010,18
2011,17
2012,9
