year,Nicolle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,0
1959,0
1960,0
1961,0
1962,7
1963,14
1964,16
1965,16
1966,45
1967,44
1968,87
1969,161
1970,216
1971,170
1972,191
1973,114
1974,106
1975,156
1976,148
1977,156
1978,152
1979,162
1980,136
1981,127
1982,128
1983,127
1984,119
1985,144
1986,132
1987,148
1988,137
1989,137
1990,150
1991,142
1992,166
1993,131
1994,162
1995,107
1996,112
1997,117
1998,103
1999,91
2000,115
2001,92
2002,77
2003,82
2004,74
2005,68
2006,53
2007,62
2008,71
2009,45
2010,39
2011,44
2012,37
