year,Nanette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,8
1910,7
1911,0
1912,11
1913,7
1914,14
1915,18
1916,18
1917,22
1918,27
1919,27
1920,24
1921,26
1922,42
1923,22
1924,32
1925,73
1926,60
1927,77
1928,70
1929,65
1930,82
1931,59
1932,66
1933,76
1934,56
1935,76
1936,60
1937,83
1938,105
1939,93
1940,84
1941,124
1942,99
1943,112
1944,117
1945,125
1946,179
1947,196
1948,195
1949,250
1950,363
1951,421
1952,370
1953,443
1954,396
1955,621
1956,760
1957,769
1958,639
1959,612
1960,696
1961,753
1962,583
1963,748
1964,715
1965,524
1966,420
1967,457
1968,425
1969,351
1970,340
1971,364
1972,324
1973,225
1974,169
1975,168
1976,118
1977,137
1978,93
1979,89
1980,71
1981,70
1982,51
1983,50
1984,43
1985,49
1986,50
1987,41
1988,24
1989,24
1990,21
1991,21
1992,19
1993,27
1994,15
1995,18
1996,17
1997,22
1998,17
1999,15
2000,11
2001,14
2002,15
2003,16
2004,12
2005,7
2006,9
2007,7
2008,12
2009,10
2010,8
2011,8
2012,14
