year,Noland
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,5
1914,0
1915,11
1916,14
1917,6
1918,16
1919,14
1920,8
1921,13
1922,9
1923,17
1924,10
1925,7
1926,12
1927,14
1928,14
1929,11
1930,6
1931,9
1932,14
1933,10
1934,8
1935,9
1936,11
1937,7
1938,9
1939,8
1940,15
1941,10
1942,6
1943,8
1944,13
1945,12
1946,10
1947,10
1948,15
1949,12
1950,11
1951,14
1952,8
1953,15
1954,21
1955,25
1956,25
1957,31
1958,27
1959,29
1960,22
1961,21
1962,25
1963,17
1964,21
1965,23
1966,16
1967,20
1968,19
1969,29
1970,27
1971,21
1972,11
1973,14
1974,14
1975,15
1976,16
1977,18
1978,12
1979,10
1980,9
1981,15
1982,16
1983,10
1984,15
1985,12
1986,14
1987,12
1988,15
1989,14
1990,18
1991,18
1992,21
1993,13
1994,14
1995,19
1996,10
1997,19
1998,15
1999,14
2000,12
2001,17
2002,17
2003,15
2004,13
2005,16
2006,15
2007,15
2008,12
2009,14
2010,16
2011,16
2012,21
