year,Nella
1880,10
1881,19
1882,11
1883,6
1884,19
1885,10
1886,11
1887,12
1888,17
1889,10
1890,9
1891,15
1892,18
1893,16
1894,19
1895,18
1896,14
1897,17
1898,11
1899,10
1900,14
1901,13
1902,15
1903,20
1904,14
1905,22
1906,12
1907,22
1908,26
1909,18
1910,34
1911,18
1912,44
1913,36
1914,44
1915,48
1916,57
1917,47
1918,74
1919,61
1920,57
1921,79
1922,74
1923,58
1924,70
1925,74
1926,58
1927,81
1928,57
1929,48
1930,67
1931,57
1932,66
1933,58
1934,81
1935,59
1936,65
1937,68
1938,52
1939,46
1940,61
1941,54
1942,38
1943,43
1944,38
1945,33
1946,38
1947,38
1948,28
1949,41
1950,32
1951,38
1952,37
1953,33
1954,32
1955,23
1956,25
1957,21
1958,25
1959,19
1960,26
1961,20
1962,25
1963,12
1964,25
1965,18
1966,14
1967,16
1968,11
1969,17
1970,11
1971,10
1972,5
1973,9
1974,8
1975,10
1976,13
1977,0
1978,10
1979,7
1980,0
1981,9
1982,5
1983,5
1984,0
1985,5
1986,0
1987,0
1988,0
1989,7
1990,0
1991,0
1992,6
1993,0
1994,0
1995,0
1996,0
1997,7
1998,0
1999,5
2000,0
2001,6
2002,12
2003,0
2004,15
2005,12
2006,25
2007,22
2008,32
2009,48
2010,39
2011,39
2012,58
