year,Nancey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,8
1916,0
1917,0
1918,0
1919,0
1920,6
1921,5
1922,9
1923,0
1924,5
1925,0
1926,8
1927,7
1928,0
1929,0
1930,6
1931,0
1932,5
1933,6
1934,0
1935,10
1936,10
1937,11
1938,8
1939,12
1940,12
1941,16
1942,11
1943,18
1944,20
1945,15
1946,25
1947,20
1948,17
1949,25
1950,17
1951,16
1952,24
1953,30
1954,16
1955,23
1956,25
1957,15
1958,13
1959,13
1960,8
1961,10
1962,16
1963,5
1964,16
1965,10
1966,9
1967,9
1968,9
1969,5
1970,0
1971,10
1972,0
1973,0
1974,0
1975,0
1976,0
1977,6
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,6
1989,0
1990,0
1991,0
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
