year,Nicola (F),Nicola (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000009
1912,0.000000,0.000017
1913,0.000000,0.000013
1914,0.000000,0.000013
1915,0.000000,0.000017
1916,0.000000,0.000013
1917,0.000000,0.000011
1918,0.000000,0.000013
1919,0.000000,0.000013
1920,0.000002,0.000011
1921,0.000000,0.000008
1922,0.000000,0.000006
1923,0.000000,0.000010
1924,0.000000,0.000009
1925,0.000000,0.000007
1926,0.000000,0.000008
1927,0.000000,0.000006
1928,0.000000,0.000007
1929,0.000000,0.000010
1930,0.000000,0.000004
1931,0.000000,0.000006
1932,0.000000,0.000005
1933,0.000000,0.000005
1934,0.000000,0.000006
1935,0.000000,0.000004
1936,0.000000,0.000003
1937,0.000002,0.000000
1938,0.000002,0.000003
1939,0.000003,0.000004
1940,0.000004,0.000005
1941,0.000006,0.000004
1942,0.000004,0.000003
1943,0.000006,0.000000
1944,0.000006,0.000002
1945,0.000014,0.000003
1946,0.000014,0.000004
1947,0.000010,0.000002
1948,0.000014,0.000003
1949,0.000011,0.000003
1950,0.000009,0.000004
1951,0.000005,0.000004
1952,0.000006,0.000003
1953,0.000008,0.000002
1954,0.000009,0.000004
1955,0.000010,0.000002
1956,0.000007,0.000006
1957,0.000007,0.000006
1958,0.000009,0.000004
1959,0.000005,0.000004
1960,0.000007,0.000007
1961,0.000008,0.000006
1962,0.000013,0.000006
1963,0.000014,0.000011
1964,0.000011,0.000010
1965,0.000016,0.000011
1966,0.000021,0.000009
1967,0.000026,0.000006
1968,0.000033,0.000010
1969,0.000041,0.000014
1970,0.000033,0.000013
1971,0.000042,0.000013
1972,0.000058,0.000017
1973,0.000042,0.000015
1974,0.000038,0.000014
1975,0.000043,0.000014
1976,0.000040,0.000013
1977,0.000034,0.000013
1978,0.000043,0.000014
1979,0.000041,0.000012
1980,0.000032,0.000009
1981,0.000027,0.000009
1982,0.000027,0.000009
1983,0.000027,0.000008
1984,0.000023,0.000009
1985,0.000024,0.000010
1986,0.000023,0.000008
1987,0.000022,0.000007
1988,0.000017,0.000009
1989,0.000022,0.000012
1990,0.000024,0.000011
1991,0.000022,0.000012
1992,0.000025,0.000011
1993,0.000022,0.000010
1994,0.000021,0.000010
1995,0.000021,0.000011
1996,0.000020,0.000011
1997,0.000018,0.000013
1998,0.000018,0.000010
1999,0.000018,0.000011
2000,0.000014,0.000011
2001,0.000015,0.000011
2002,0.000020,0.000009
2003,0.000016,0.000011
2004,0.000018,0.000009
2005,0.000013,0.000007
2006,0.000010,0.000008
2007,0.000012,0.000009
2008,0.000010,0.000009
2009,0.000009,0.000007
2010,0.000009,0.000006
2011,0.000008,0.000007
2012,0.000010,0.000006
2013,0.000004,0.000006
2014,0.000009,0.000005
2015,0.000006,0.000008
2016,0.000006,0.000005
2017,0.000003,0.000007
2018,0.000004,0.000008
2019,0.000005,0.000008
2020,0.000003,0.000008
