year,Nadene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,6
1912,5
1913,8
1914,11
1915,9
1916,25
1917,13
1918,32
1919,22
1920,30
1921,26
1922,39
1923,27
1924,37
1925,37
1926,40
1927,29
1928,37
1929,30
1930,43
1931,31
1932,40
1933,34
1934,32
1935,38
1936,39
1937,22
1938,42
1939,29
1940,29
1941,43
1942,34
1943,29
1944,25
1945,35
1946,29
1947,25
1948,25
1949,32
1950,24
1951,33
1952,39
1953,25
1954,32
1955,21
1956,29
1957,21
1958,28
1959,16
1960,28
1961,21
1962,20
1963,26
1964,27
1965,17
1966,19
1967,22
1968,17
1969,25
1970,26
1971,21
1972,23
1973,11
1974,14
1975,17
1976,13
1977,12
1978,9
1979,11
1980,8
1981,11
1982,7
1983,9
1984,0
1985,6
1986,5
1987,5
1988,6
1989,9
1990,0
1991,6
1992,5
1993,7
1994,6
1995,6
1996,0
1997,0
1998,7
1999,5
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
