year,Neomi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,5
1913,5
1914,11
1915,16
1916,9
1917,10
1918,11
1919,10
1920,17
1921,18
1922,17
1923,23
1924,24
1925,17
1926,20
1927,29
1928,21
1929,18
1930,20
1931,17
1932,20
1933,15
1934,14
1935,20
1936,12
1937,13
1938,16
1939,24
1940,12
1941,15
1942,9
1943,17
1944,15
1945,13
1946,17
1947,10
1948,14
1949,8
1950,16
1951,12
1952,13
1953,16
1954,10
1955,11
1956,13
1957,20
1958,12
1959,8
1960,18
1961,16
1962,10
1963,10
1964,19
1965,9
1966,5
1967,9
1968,11
1969,9
1970,9
1971,10
1972,13
1973,13
1974,15
1975,8
1976,17
1977,22
1978,17
1979,26
1980,24
1981,30
1982,16
1983,15
1984,6
1985,12
1986,23
1987,14
1988,16
1989,14
1990,15
1991,15
1992,8
1993,13
1994,14
1995,13
1996,20
1997,21
1998,19
1999,26
2000,20
2001,22
2002,27
2003,24
2004,22
2005,17
2006,17
2007,25
2008,31
2009,23
2010,19
2011,24
2012,18
