year,Newton (F),Newton (M)
1880,0.000000,0.000347
1881,0.000000,0.000275
1882,0.000000,0.000275
1883,0.000000,0.000272
1884,0.000000,0.000168
1885,0.000000,0.000253
1886,0.000000,0.000258
1887,0.000000,0.000166
1888,0.000000,0.000167
1889,0.000000,0.000125
1890,0.000000,0.000153
1891,0.000000,0.000126
1892,0.000000,0.000138
1893,0.000000,0.000145
1894,0.000000,0.000094
1895,0.000000,0.000094
1896,0.000000,0.000095
1897,0.000000,0.000101
1898,0.000000,0.000076
1899,0.000000,0.000100
1900,0.000000,0.000111
1901,0.000000,0.000087
1902,0.000000,0.000101
1903,0.000000,0.000071
1904,0.000000,0.000047
1905,0.000000,0.000075
1906,0.000000,0.000077
1907,0.000000,0.000073
1908,0.000000,0.000059
1909,0.000000,0.000045
1910,0.000000,0.000068
1911,0.000000,0.000067
1912,0.000000,0.000087
1913,0.000000,0.000091
1914,0.000000,0.000083
1915,0.000000,0.000078
1916,0.000000,0.000099
1917,0.000000,0.000085
1918,0.000000,0.000093
1919,0.000000,0.000099
1920,0.000000,0.000084
1921,0.000000,0.000072
1922,0.000002,0.000074
1923,0.000000,0.000068
1924,0.000000,0.000071
1925,0.000000,0.000065
1926,0.000000,0.000063
1927,0.000000,0.000060
1928,0.000000,0.000064
1929,0.000000,0.000053
1930,0.000000,0.000045
1931,0.000000,0.000058
1932,0.000000,0.000055
1933,0.000000,0.000056
1934,0.000000,0.000047
1935,0.000000,0.000043
1936,0.000000,0.000038
1937,0.000000,0.000045
1938,0.000000,0.000038
1939,0.000000,0.000041
1940,0.000000,0.000029
1941,0.000000,0.000034
1942,0.000000,0.000040
1943,0.000000,0.000033
1944,0.000000,0.000030
1945,0.000000,0.000025
1946,0.000000,0.000025
1947,0.000000,0.000022
1948,0.000000,0.000024
1949,0.000000,0.000016
1950,0.000000,0.000023
1951,0.000000,0.000019
1952,0.000000,0.000015
1953,0.000000,0.000014
1954,0.000000,0.000016
1955,0.000000,0.000018
1956,0.000000,0.000013
1957,0.000000,0.000015
1958,0.000000,0.000012
1959,0.000000,0.000013
1960,0.000000,0.000012
1961,0.000000,0.000011
1962,0.000000,0.000011
1963,0.000000,0.000010
1964,0.000000,0.000011
1965,0.000000,0.000010
1966,0.000000,0.000009
1967,0.000000,0.000011
1968,0.000000,0.000009
1969,0.000000,0.000010
1970,0.000000,0.000009
1971,0.000000,0.000010
1972,0.000000,0.000012
1973,0.000000,0.000010
1974,0.000000,0.000009
1975,0.000000,0.000008
1976,0.000000,0.000008
1977,0.000000,0.000007
1978,0.000000,0.000007
1979,0.000000,0.000008
1980,0.000000,0.000006
1981,0.000000,0.000008
1982,0.000000,0.000006
1983,0.000000,0.000004
1984,0.000000,0.000007
1985,0.000000,0.000006
1986,0.000000,0.000008
1987,0.000000,0.000006
1988,0.000000,0.000005
1989,0.000000,0.000005
1990,0.000000,0.000005
1991,0.000000,0.000007
1992,0.000000,0.000007
1993,0.000000,0.000006
1994,0.000000,0.000010
1995,0.000000,0.000006
1996,0.000000,0.000005
1997,0.000000,0.000005
1998,0.000000,0.000004
1999,0.000000,0.000006
2000,0.000000,0.000005
2001,0.000000,0.000002
2002,0.000000,0.000004
2003,0.000000,0.000004
2004,0.000000,0.000004
2005,0.000000,0.000005
2006,0.000000,0.000005
2007,0.000000,0.000007
2008,0.000000,0.000005
2009,0.000000,0.000007
2010,0.000000,0.000005
2011,0.000000,0.000004
2012,0.000000,0.000004
