year,Neill
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,12
1914,11
1915,14
1916,12
1917,12
1918,18
1919,18
1920,14
1921,17
1922,12
1923,15
1924,15
1925,20
1926,21
1927,14
1928,17
1929,19
1930,12
1931,19
1932,11
1933,16
1934,17
1935,19
1936,17
1937,19
1938,21
1939,12
1940,32
1941,19
1942,24
1943,25
1944,19
1945,21
1946,28
1947,33
1948,30
1949,22
1950,36
1951,29
1952,31
1953,31
1954,28
1955,28
1956,17
1957,32
1958,25
1959,24
1960,15
1961,20
1962,25
1963,18
1964,24
1965,14
1966,19
1967,17
1968,20
1969,21
1970,21
1971,33
1972,14
1973,24
1974,17
1975,34
1976,24
1977,24
1978,29
1979,23
1980,30
1981,21
1982,16
1983,24
1984,16
1985,19
1986,23
1987,10
1988,24
1989,22
1990,22
1991,19
1992,24
1993,12
1994,12
1995,8
1996,13
1997,10
1998,14
1999,8
2000,7
2001,5
2002,0
2003,6
2004,0
2005,15
2006,0
2007,0
2008,7
2009,6
2010,6
2011,0
2012,7
