year,Nelwyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,7
1915,6
1916,6
1917,9
1918,13
1919,10
1920,18
1921,15
1922,7
1923,9
1924,14
1925,19
1926,18
1927,17
1928,17
1929,15
1930,20
1931,17
1932,11
1933,16
1934,21
1935,20
1936,19
1937,10
1938,22
1939,18
1940,16
1941,9
1942,20
1943,14
1944,16
1945,14
1946,9
1947,16
1948,15
1949,12
1950,14
1951,15
1952,7
1953,12
1954,6
1955,17
1956,14
1957,8
1958,6
1959,8
1960,6
1961,7
1962,6
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
