year,Niels
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,9
1913,7
1914,12
1915,15
1916,0
1917,11
1918,11
1919,10
1920,11
1921,13
1922,11
1923,7
1924,7
1925,11
1926,9
1927,17
1928,11
1929,13
1930,13
1931,9
1932,8
1933,10
1934,9
1935,6
1936,5
1937,12
1938,5
1939,9
1940,8
1941,6
1942,7
1943,11
1944,9
1945,8
1946,5
1947,14
1948,15
1949,9
1950,20
1951,12
1952,14
1953,14
1954,19
1955,20
1956,16
1957,31
1958,17
1959,17
1960,6
1961,17
1962,17
1963,15
1964,19
1965,16
1966,13
1967,15
1968,19
1969,18
1970,20
1971,9
1972,15
1973,17
1974,13
1975,13
1976,11
1977,10
1978,15
1979,13
1980,12
1981,17
1982,13
1983,11
1984,16
1985,18
1986,12
1987,9
1988,11
1989,11
1990,17
1991,11
1992,13
1993,15
1994,14
1995,11
1996,14
1997,8
1998,13
1999,14
2000,13
2001,21
2002,15
2003,13
2004,11
2005,11
2006,10
2007,14
2008,10
2009,6
2010,17
2011,14
2012,15
