year,Natashia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,5
1965,0
1966,5
1967,0
1968,7
1969,16
1970,23
1971,39
1972,51
1973,60
1974,42
1975,58
1976,80
1977,91
1978,101
1979,75
1980,81
1981,98
1982,128
1983,94
1984,124
1985,145
1986,136
1987,139
1988,133
1989,138
1990,113
1991,85
1992,86
1993,55
1994,71
1995,48
1996,35
1997,34
1998,23
1999,23
2000,30
2001,16
2002,18
2003,16
2004,17
2005,6
2006,13
2007,16
2008,10
2009,13
2010,13
2011,0
2012,10
