year,Nadeen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,0
1914,0
1915,0
1916,0
1917,7
1918,0
1919,0
1920,5
1921,0
1922,0
1923,10
1924,11
1925,0
1926,17
1927,11
1928,12
1929,16
1930,16
1931,10
1932,10
1933,8
1934,13
1935,0
1936,0
1937,19
1938,9
1939,15
1940,6
1941,9
1942,6
1943,0
1944,9
1945,9
1946,7
1947,13
1948,9
1949,9
1950,10
1951,9
1952,20
1953,10
1954,13
1955,11
1956,7
1957,11
1958,14
1959,14
1960,10
1961,12
1962,17
1963,11
1964,17
1965,6
1966,13
1967,9
1968,12
1969,11
1970,11
1971,10
1972,13
1973,12
1974,9
1975,0
1976,10
1977,7
1978,9
1979,6
1980,0
1981,0
1982,10
1983,5
1984,15
1985,8
1986,9
1987,8
1988,0
1989,9
1990,14
1991,14
1992,16
1993,20
1994,28
1995,21
1996,12
1997,30
1998,23
1999,33
2000,35
2001,36
2002,36
2003,27
2004,31
2005,23
2006,23
2007,31
2008,31
2009,29
2010,29
2011,24
2012,24
