year,Nelson (F),Nelson (M)
1880,0.000000,0.000491
1881,0.000000,0.000467
1882,0.000000,0.000469
1883,0.000000,0.000364
1884,0.000000,0.000366
1885,0.000000,0.000345
1886,0.000000,0.000306
1887,0.000000,0.000251
1888,0.000000,0.000284
1889,0.000000,0.000277
1890,0.000000,0.000236
1891,0.000000,0.000300
1892,0.000000,0.000293
1893,0.000000,0.000221
1894,0.000000,0.000224
1895,0.000000,0.000308
1896,0.000000,0.000241
1897,0.000000,0.000300
1898,0.000000,0.000294
1899,0.000000,0.000315
1900,0.000000,0.000300
1901,0.000000,0.000280
1902,0.000000,0.000202
1903,0.000000,0.000244
1904,0.000000,0.000201
1905,0.000000,0.000297
1906,0.000000,0.000233
1907,0.000000,0.000277
1908,0.000000,0.000229
1909,0.000000,0.000221
1910,0.000000,0.000240
1911,0.000000,0.000279
1912,0.000000,0.000353
1913,0.000004,0.000314
1914,0.000000,0.000372
1915,0.000003,0.000331
1916,0.000000,0.000320
1917,0.000002,0.000301
1918,0.000003,0.000306
1919,0.000000,0.000323
1920,0.000002,0.000327
1921,0.000003,0.000302
1922,0.000003,0.000288
1923,0.000000,0.000306
1924,0.000004,0.000316
1925,0.000000,0.000316
1926,0.000002,0.000298
1927,0.000006,0.000290
1928,0.000000,0.000301
1929,0.000003,0.000269
1930,0.000003,0.000283
1931,0.000003,0.000289
1932,0.000003,0.000297
1933,0.000003,0.000286
1934,0.000003,0.000274
1935,0.000003,0.000277
1936,0.000006,0.000304
1937,0.000000,0.000310
1938,0.000000,0.000359
1939,0.000000,0.000364
1940,0.000000,0.000350
1941,0.000002,0.000325
1942,0.000003,0.000318
1943,0.000002,0.000281
1944,0.000003,0.000266
1945,0.000000,0.000262
1946,0.000000,0.000232
1947,0.000000,0.000226
1948,0.000000,0.000236
1949,0.000001,0.000224
1950,0.000000,0.000229
1951,0.000000,0.000218
1952,0.000000,0.000218
1953,0.000000,0.000263
1954,0.000001,0.000238
1955,0.000000,0.000227
1956,0.000001,0.000222
1957,0.000002,0.000224
1958,0.000001,0.000230
1959,0.000000,0.000260
1960,0.000001,0.000245
1961,0.000000,0.000230
1962,0.000002,0.000230
1963,0.000000,0.000248
1964,0.000000,0.000212
1965,0.000001,0.000225
1966,0.000002,0.000208
1967,0.000002,0.000232
1968,0.000002,0.000226
1969,0.000001,0.000220
1970,0.000003,0.000210
1971,0.000002,0.000225
1972,0.000004,0.000197
1973,0.000002,0.000193
1974,0.000004,0.000222
1975,0.000000,0.000228
1976,0.000002,0.000242
1977,0.000003,0.000211
1978,0.000002,0.000214
1979,0.000002,0.000201
1980,0.000002,0.000199
1981,0.000002,0.000185
1982,0.000002,0.000187
1983,0.000000,0.000182
1984,0.000003,0.000187
1985,0.000000,0.000198
1986,0.000003,0.000200
1987,0.000001,0.000197
1988,0.000002,0.000205
1989,0.000002,0.000223
1990,0.000001,0.000236
1991,0.000000,0.000208
1992,0.000002,0.000209
1993,0.000002,0.000202
1994,0.000002,0.000193
1995,0.000002,0.000186
1996,0.000000,0.000170
1997,0.000000,0.000171
1998,0.000000,0.000167
1999,0.000001,0.000164
2000,0.000000,0.000159
2001,0.000000,0.000164
2002,0.000000,0.000166
2003,0.000000,0.000161
2004,0.000002,0.000150
2005,0.000000,0.000154
2006,0.000000,0.000153
2007,0.000000,0.000146
2008,0.000000,0.000140
2009,0.000000,0.000136
2010,0.000000,0.000120
2011,0.000000,0.000125
2012,0.000000,0.000127
2013,0.000000,0.000121
2014,0.000000,0.000110
2015,0.000000,0.000115
2016,0.000000,0.000118
2017,0.000000,0.000115
2018,0.000000,0.000107
2019,0.000001,0.000117
2020,0.000002,0.000116
