year,Noelani
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,0
1961,5
1962,0
1963,0
1964,5
1965,0
1966,5
1967,6
1968,6
1969,9
1970,11
1971,11
1972,10
1973,5
1974,14
1975,15
1976,17
1977,21
1978,12
1979,19
1980,20
1981,22
1982,12
1983,15
1984,18
1985,18
1986,20
1987,22
1988,18
1989,26
1990,26
1991,41
1992,45
1993,29
1994,39
1995,41
1996,32
1997,42
1998,53
1999,62
2000,69
2001,73
2002,76
2003,116
2004,122
2005,138
2006,145
2007,130
2008,126
2009,100
2010,90
2011,128
2012,116
