year,Nilda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,0
1914,0
1915,8
1916,7
1917,8
1918,5
1919,8
1920,12
1921,5
1922,10
1923,15
1924,12
1925,9
1926,14
1927,17
1928,7
1929,17
1930,16
1931,10
1932,14
1933,16
1934,11
1935,15
1936,22
1937,14
1938,16
1939,15
1940,12
1941,20
1942,19
1943,17
1944,15
1945,18
1946,40
1947,24
1948,37
1949,51
1950,54
1951,41
1952,68
1953,71
1954,78
1955,95
1956,88
1957,117
1958,99
1959,101
1960,102
1961,86
1962,102
1963,96
1964,86
1965,87
1966,79
1967,73
1968,59
1969,60
1970,85
1971,47
1972,64
1973,44
1974,49
1975,44
1976,40
1977,33
1978,48
1979,42
1980,35
1981,32
1982,24
1983,36
1984,35
1985,41
1986,22
1987,22
1988,19
1989,26
1990,21
1991,15
1992,22
1993,13
1994,14
1995,17
1996,8
1997,16
1998,18
1999,13
2000,9
2001,9
2002,9
2003,8
2004,7
2005,8
2006,7
2007,0
2008,7
2009,9
2010,7
2011,5
2012,0
